# t[Gyr], [Fe/H]
1.250000000000000069e-02 -5.684350965547982915e-01
3.750000000000000555e-02 -5.438338279759109550e-01
6.250000000000001388e-02 -5.270417636994676469e-01
8.750000000000000833e-02 -5.135787699671208184e-01
1.125000000000000167e-01 -5.021010896770112808e-01
1.375000000000000389e-01 -4.919829919357617265e-01
1.625000000000000333e-01 -4.828716599880730764e-01
1.875000000000000555e-01 -4.745446177411919986e-01
2.125000000000000500e-01 -4.668507610607138814e-01
2.375000000000000444e-01 -4.596818542502508209e-01
2.625000000000000666e-01 -4.529571982604522762e-01
2.875000000000000888e-01 -4.466147105894556213e-01
3.125000000000000555e-01 -4.406054128272540726e-01
3.375000000000000777e-01 -4.348898567848329400e-01
3.625000000000000999e-01 -4.294357151424145758e-01
3.875000000000000666e-01 -4.242161035304816141e-01
4.125000000000000888e-01 -4.192083794616942027e-01
4.375000000000001110e-01 -4.143932621290293827e-01
4.625000000000000777e-01 -4.097541740619164985e-01
4.875000000000000999e-01 -4.052767398529563692e-01
5.125000000000000666e-01 -4.009483984193503714e-01
5.375000000000000888e-01 -3.967580988517090401e-01
5.625000000000001110e-01 -3.926960588183841527e-01
5.875000000000000222e-01 -3.887535704784553237e-01
6.125000000000000444e-01 -3.849228429574848009e-01
6.375000000000000666e-01 -3.811968733025786760e-01
6.625000000000000888e-01 -3.775693398649148658e-01
6.875000000000001110e-01 -3.740345135219589889e-01
7.125000000000001332e-01 -3.705871832214315265e-01
7.375000000000000444e-01 -3.672225931209002203e-01
7.625000000000000666e-01 -3.639363891898304559e-01
7.875000000000000888e-01 -3.607245735898242933e-01
8.125000000000001110e-01 -3.575834654920599931e-01
8.375000000000001332e-01 -3.545096672559135409e-01
8.625000000000001554e-01 -3.515000350990709066e-01
8.875000000000001776e-01 -3.485516535514053826e-01
9.125000000000000888e-01 -3.456618131130244631e-01
9.375000000000001110e-01 -3.428279906389669618e-01
9.625000000000001332e-01 -3.400478320549094602e-01
9.875000000000001554e-01 -3.373191370743365836e-01
1.012500000000000178e+00 -3.346398456413000599e-01
1.037500000000000089e+00 -3.320080258667173490e-01
1.062500000000000222e+00 -3.294218632621558340e-01
1.087500000000000133e+00 -3.268796511047393216e-01
1.112500000000000266e+00 -3.243797817914382264e-01
1.137500000000000178e+00 -3.219207390615218545e-01
1.162500000000000089e+00 -3.195010909831119683e-01
1.187500000000000222e+00 -3.171194836141930096e-01
1.212500000000000133e+00 -3.147746352605986786e-01
1.237500000000000266e+00 -3.124653312637932223e-01
1.262500000000000178e+00 -3.101904192600093979e-01
1.287500000000000311e+00 -3.079488048597793792e-01
1.312500000000000222e+00 -3.057394477032595592e-01
1.337500000000000133e+00 -3.035613578522497469e-01
1.362500000000000266e+00 -3.014135924845049441e-01
1.387500000000000178e+00 -2.992952528600255624e-01
1.412500000000000311e+00 -2.972054815325266830e-01
1.437500000000000222e+00 -2.951434597823578976e-01
1.462500000000000133e+00 -2.931084052498024728e-01
1.487500000000000266e+00 -2.910995697500142199e-01
1.512500000000000178e+00 -2.891162372528885971e-01
1.537500000000000311e+00 -2.871577220129382102e-01
1.562500000000000222e+00 -2.852233668358234442e-01
1.587500000000000355e+00 -2.833125414695605304e-01
1.612500000000000266e+00 -2.814246411096519851e-01
1.637500000000000178e+00 -2.795590850084627710e-01
1.662500000000000311e+00 -2.777153151801209918e-01
1.687500000000000222e+00 -2.758927951930655320e-01
1.712500000000000355e+00 -2.740910090431276092e-01
1.737500000000000266e+00 -2.723094601006918469e-01
1.762500000000000400e+00 -2.705476701260969841e-01
1.787500000000000311e+00 -2.688051783479619150e-01
1.812500000000000222e+00 -2.670815405996083691e-01
1.837500000000000355e+00 -2.653763285091851332e-01
1.862500000000000266e+00 -2.636891287394785843e-01
1.887500000000000400e+00 -2.620195422737495727e-01
1.912500000000000311e+00 -2.603671837442516068e-01
1.937500000000000222e+00 -2.587316808003591873e-01
1.962500000000000355e+00 -2.571126735135056962e-01
1.987500000000000266e+00 -2.555098138163485744e-01
2.012500000000000622e+00 -2.539227649737976766e-01
2.037500000000000533e+00 -2.523512010837319908e-01
2.062500000000000444e+00 -2.507948066053992120e-01
2.087500000000000799e+00 -2.492532759136550646e-01
2.112500000000000711e+00 -2.477263128773397327e-01
2.137500000000000622e+00 -2.462136304602191295e-01
2.162500000000000533e+00 -2.447149503430387785e-01
2.187500000000000444e+00 -2.432300025653497955e-01
2.212500000000000799e+00 -2.417585251858580531e-01
2.237500000000000711e+00 -2.403002639601493629e-01
2.262500000000000622e+00 -2.388549720347186711e-01
2.287500000000000533e+00 -2.374224096563108399e-01
2.312500000000000444e+00 -2.360023438956537489e-01
2.337500000000000799e+00 -2.345945483847233226e-01
2.362500000000000711e+00 -2.331988030667454248e-01
2.387500000000000622e+00 -2.318148939581907431e-01
2.412500000000000533e+00 -2.304426129220692177e-01
2.437500000000000444e+00 -2.290817574518823063e-01
2.462500000000000799e+00 -2.277321304656249601e-01
2.487500000000000711e+00 -2.263935401092787292e-01
2.512500000000000622e+00 -2.250657995692685598e-01
2.537500000000000533e+00 -2.237487268933901208e-01
2.562500000000000888e+00 -2.224421448197484164e-01
2.587500000000000799e+00 -2.211458806132773902e-01
2.612500000000000711e+00 -2.198597659094316537e-01
2.637500000000000622e+00 -2.185836365646779411e-01
2.662500000000000533e+00 -2.173173325134243050e-01
2.687500000000000888e+00 -2.160606976310580074e-01
2.712500000000000799e+00 -2.148135796027742794e-01
2.737500000000000711e+00 -2.135758297979040987e-01
2.762500000000000622e+00 -2.123473031494622631e-01
2.787500000000000533e+00 -2.111278580386542203e-01
2.812500000000000888e+00 -2.099173561840962654e-01
2.837500000000000799e+00 -2.087156625355186812e-01
2.862500000000000711e+00 -2.075226451717304132e-01
2.887500000000000622e+00 -2.063381752026441363e-01
2.912500000000000533e+00 -2.051621266751615380e-01
2.937500000000000888e+00 -2.039943764827403527e-01
2.962500000000000799e+00 -2.028348042784685612e-01
2.987500000000000711e+00 -2.016832923914785303e-01
3.012500000000000622e+00 -2.005397257465529326e-01
3.037500000000000977e+00 -1.994039917867688749e-01
3.062500000000000888e+00 -1.982759803990479797e-01
3.087500000000000799e+00 -1.971555838424756124e-01
3.112500000000000711e+00 -1.960426966792702952e-01
3.137500000000000622e+00 -1.949372157082801815e-01
3.162500000000000977e+00 -1.938390399008992349e-01
3.187500000000000888e+00 -1.927480703392958905e-01
3.212500000000000799e+00 -1.916642101568521994e-01
3.237500000000000711e+00 -1.905873644807201950e-01
3.262500000000000622e+00 -1.895174403764032511e-01
3.287500000000000977e+00 -1.884543467942784989e-01
3.312500000000000888e+00 -1.873979945179752304e-01
3.337500000000000799e+00 -1.863482961145352668e-01
3.362500000000000711e+00 -1.853051658862789053e-01
3.387500000000000622e+00 -1.842685198243058375e-01
3.412500000000000977e+00 -1.832382755635663385e-01
3.437500000000000888e+00 -1.822143523394369746e-01
3.462500000000000799e+00 -1.811966709457405733e-01
3.487500000000000711e+00 -1.801851536941529996e-01
3.512500000000001066e+00 -1.791797243749410629e-01
3.537500000000000977e+00 -1.781803082189785392e-01
3.562500000000000888e+00 -1.771868318609930992e-01
3.587500000000000799e+00 -1.761992233039906264e-01
3.612500000000000711e+00 -1.752174118848167372e-01
3.637500000000001066e+00 -1.742413282408100395e-01
3.662500000000000977e+00 -1.732709042775024133e-01
3.687500000000000888e+00 -1.723060731373330934e-01
3.712500000000000799e+00 -1.713467691693300321e-01
3.737500000000000711e+00 -1.703929278997322605e-01
3.762500000000001066e+00 -1.694444860035068112e-01
3.787500000000000977e+00 -1.685013812767384433e-01
3.812500000000000888e+00 -1.675635526098520622e-01
3.837500000000000799e+00 -1.666309399616407727e-01
3.862500000000000711e+00 -1.657034843340698393e-01
3.887500000000001066e+00 -1.647811277478299641e-01
3.912500000000000977e+00 -1.638638132186105989e-01
3.937500000000000888e+00 -1.629514847340674810e-01
3.962500000000000799e+00 -1.620440872314653780e-01
3.987500000000001155e+00 -1.611415665759651505e-01
4.012500000000001066e+00 -1.602438695395354828e-01
4.037500000000000533e+00 -1.593509437804699336e-01
4.062500000000000888e+00 -1.584627378234848005e-01
4.087500000000001243e+00 -1.575792010403809229e-01
4.112500000000000711e+00 -1.567002836312474667e-01
4.137500000000001066e+00 -1.558259366061902906e-01
4.162500000000001421e+00 -1.549561117675710697e-01
4.187500000000000888e+00 -1.540907616927310597e-01
4.212500000000001243e+00 -1.532298397171944770e-01
4.237500000000000711e+00 -1.523732999183267933e-01
4.262500000000001066e+00 -1.515210970994370077e-01
4.287500000000001421e+00 -1.506731867743093256e-01
4.312500000000000888e+00 -1.498295251521503391e-01
4.337500000000001243e+00 -1.489900691229338048e-01
4.362500000000000711e+00 -1.481547762431406345e-01
4.387500000000001066e+00 -1.473236047218677847e-01
4.412500000000001421e+00 -1.464965134073070163e-01
4.437500000000000888e+00 -1.456734617735733484e-01
4.462500000000001243e+00 -1.448544099078750147e-01
4.487500000000000711e+00 -1.440393184980168773e-01
4.512500000000001066e+00 -1.432281488202213904e-01
4.537500000000001421e+00 -1.424208627272618433e-01
4.562500000000000888e+00 -1.416174226368973887e-01
4.587500000000001243e+00 -1.408177915205985342e-01
4.612500000000000711e+00 -1.400219328925564333e-01
4.637500000000001066e+00 -1.392298107989668188e-01
4.662500000000001421e+00 -1.384413898075804450e-01
4.687500000000000888e+00 -1.376566349975110182e-01
4.712500000000001243e+00 -1.368755119492938155e-01
4.737500000000000711e+00 -1.360979867351891082e-01
4.762500000000001066e+00 -1.353240259097185649e-01
4.787500000000001421e+00 -1.345535965004336088e-01
4.812500000000000888e+00 -1.337866659989052631e-01
4.837500000000001243e+00 -1.330232023519282436e-01
4.862500000000000711e+00 -1.322631739529380734e-01
4.887500000000001066e+00 -1.315065496336284001e-01
4.912500000000001421e+00 -1.307532986557690680e-01
4.937500000000000888e+00 -1.300033907032149827e-01
4.962500000000001243e+00 -1.292567958741008827e-01
4.987500000000000711e+00 -1.285134846732202407e-01
5.012500000000001066e+00 -1.277734280045783044e-01
5.037500000000001421e+00 -1.270365971641171099e-01
5.062500000000000888e+00 -1.263029638326089443e-01
5.087500000000001243e+00 -1.255725000687092086e-01
5.112500000000001599e+00 -1.248451783021689437e-01
5.137500000000001066e+00 -1.241209713272005827e-01
5.162500000000001421e+00 -1.233998522959923183e-01
5.187500000000000888e+00 -1.226817947123678559e-01
5.212500000000001243e+00 -1.219667724255867614e-01
5.237500000000001599e+00 -1.212547596242842390e-01
5.262500000000001066e+00 -1.205457308305426523e-01
5.287500000000001421e+00 -1.198396608940943409e-01
