# t[Gyr], [Fe/H]
1.250000000000000069e-02 -7.546420669426944228e-01
3.750000000000000555e-02 -7.807088170058162913e-01
6.250000000000001388e-02 -7.970095006643342916e-01
8.750000000000000833e-02 -8.096338483544459619e-01
1.125000000000000167e-01 -8.202080486687877148e-01
1.375000000000000389e-01 -8.294415762288688265e-01
1.625000000000000333e-01 -8.377162925294359130e-01
1.875000000000000555e-01 -8.452644285409360858e-01
2.125000000000000500e-01 -8.522391212405791006e-01
2.375000000000000444e-01 -8.587473681361852407e-01
2.625000000000000666e-01 -8.648672572987972096e-01
2.875000000000000888e-01 -8.706577506416731671e-01
3.125000000000000555e-01 -8.761646021978500842e-01
3.375000000000000777e-01 -8.814241230249840742e-01
3.625000000000000999e-01 -8.864656764366148911e-01
3.875000000000000666e-01 -8.913133890510258617e-01
4.125000000000000888e-01 -8.959873583709618838e-01
4.375000000000001110e-01 -9.005045263147620771e-01
4.625000000000000777e-01 -9.048793247529923756e-01
4.875000000000000999e-01 -9.091241615625846872e-01
5.125000000000000666e-01 -9.132497926901360641e-01
5.375000000000000888e-01 -9.172656111693864300e-01
5.625000000000001110e-01 -9.211798745988566406e-01
5.875000000000000222e-01 -9.249998863147079753e-01
6.125000000000000444e-01 -9.287321412388901409e-01
6.375000000000000666e-01 -9.323824444401387357e-01
6.625000000000000888e-01 -9.359560083751942150e-01
6.875000000000001110e-01 -9.394575332981555116e-01
7.125000000000001332e-01 -9.428912742533712699e-01
7.375000000000000444e-01 -9.462610972794730513e-01
7.625000000000000666e-01 -9.495705268664658139e-01
7.875000000000000888e-01 -9.528227862674674142e-01
8.125000000000001110e-01 -9.560208319321976678e-01
8.375000000000001332e-01 -9.591673830727760475e-01
8.625000000000001554e-01 -9.622649471738471405e-01
8.875000000000001776e-01 -9.653158421041151405e-01
9.125000000000000888e-01 -9.683222153645048014e-01
9.375000000000001110e-01 -9.712860609115985255e-01
9.625000000000001332e-01 -9.742092339179634353e-01
9.875000000000001554e-01 -9.770934637691042202e-01
1.012500000000000178e+00 -9.799403655467850971e-01
1.037500000000000089e+00 -9.827514502078323888e-01
1.062500000000000222e+00 -9.855281336343193477e-01
1.087500000000000133e+00 -9.882717447037570047e-01
1.112500000000000266e+00 -9.909835325053906185e-01
1.137500000000000178e+00 -9.936646728100213544e-01
1.162500000000000089e+00 -9.963162738852042732e-01
1.187500000000000222e+00 -9.989393817346496895e-01
1.212500000000000133e+00 -1.001534984829710373e+00
1.237500000000000266e+00 -1.004104018391603237e+00
1.262500000000000178e+00 -1.006647368275203291e+00
1.287500000000000311e+00 -1.009165874498599846e+00
1.312500000000000222e+00 -1.011660334456952803e+00
1.337500000000000133e+00 -1.014131505854334758e+00
1.362500000000000266e+00 -1.016580109383095287e+00
1.387500000000000178e+00 -1.019006831176706207e+00
1.412500000000000311e+00 -1.021412325058957293e+00
1.437500000000000222e+00 -1.023797214609707407e+00
1.462500000000000133e+00 -1.026162095065063617e+00
1.487500000000000266e+00 -1.028507535067860745e+00
1.512500000000000178e+00 -1.030834078282538924e+00
1.537500000000000311e+00 -1.033142244886985139e+00
1.562500000000000222e+00 -1.035432532952554219e+00
1.587500000000000355e+00 -1.037705419722299904e+00
1.612500000000000266e+00 -1.039961362796402611e+00
1.637500000000000178e+00 -1.042200801232865182e+00
1.662500000000000311e+00 -1.044424156570722850e+00
1.687500000000000222e+00 -1.046631833782310839e+00
1.712500000000000355e+00 -1.048824222160475106e+00
1.737500000000000266e+00 -1.051001696146057762e+00
1.762500000000000400e+00 -1.053164616100476181e+00
1.787500000000000311e+00 -1.055313329027761426e+00
1.812500000000000222e+00 -1.057448169250021719e+00
1.837500000000000355e+00 -1.059569459039939154e+00
1.862500000000000266e+00 -1.061677509213569071e+00
1.887500000000000400e+00 -1.063772619686441878e+00
1.912500000000000311e+00 -1.065855079995684740e+00
1.937500000000000222e+00 -1.067925169790664874e+00
1.962500000000000355e+00 -1.069983159294421116e+00
1.987500000000000266e+00 -1.072029309737984049e+00
2.012500000000000622e+00 -1.074063873769488087e+00
2.037500000000000533e+00 -1.076087095839840524e+00
2.062500000000000444e+00 -1.078099212566553611e+00
2.087500000000000799e+00 -1.080100453077232459e+00
2.112500000000000711e+00 -1.082091039334081017e+00
2.137500000000000622e+00 -1.084071186440688006e+00
2.162500000000000533e+00 -1.086041102932258084e+00
2.187500000000000444e+00 -1.088000991050356969e+00
2.212500000000000799e+00 -1.089951047003170581e+00
2.237500000000000711e+00 -1.091891461212191272e+00
2.262500000000000622e+00 -1.093822418546186004e+00
2.287500000000000533e+00 -1.095744098543232070e+00
2.312500000000000444e+00 -1.097656675621553557e+00
