# R[kpc], hz[pc]
4.000000000000000000e+00 3.787012284864356815e+01
4.500000000000000000e+00 4.009711488411674907e+01
5.000000000000000000e+00 4.245506750680224428e+01
5.500000000000000000e+00 4.495168199049440005e+01
6.000000000000000000e+00 4.759511249041789682e+01
6.500000000000000000e+00 5.039399267539219096e+01
7.000000000000000000e+00 5.335746392612809785e+01
7.500000000000000000e+00 5.649520519175462141e+01
8.000000000000000000e+00 5.981746460208992744e+01
8.500000000000000000e+00 6.333509293890490710e+01
9.000000000000000000e+00 6.705957907549917252e+01
9.500000000000000000e+00 7.100308750033835281e+01
1.000000000000000000e+01 7.517849804730789742e+01
1.050000000000000000e+01 7.959944796234593412e+01
1.100000000000000000e+01 8.428037644384821192e+01
1.150000000000000000e+01 8.923657180231809605e+01
1.200000000000000000e+01 9.448422139328874891e+01
1.250000000000000000e+01 1.000404644866029997e+02
1.300000000000000000e+01 1.059234482447262593e+02
1.350000000000000000e+01 1.121523869929223167e+02
1.400000000000000000e+01 1.187476249748738297e+02
