# R[kpc], hz[pc]
4.000000000000000000e+00 1.043042334499503170e+02
4.500000000000000000e+00 1.123887938882600821e+02
5.000000000000000000e+00 1.210999839016008934e+02
5.500000000000000000e+00 1.304863731836871068e+02
6.000000000000000000e+00 1.406002960369292509e+02
6.500000000000000000e+00 1.514981431650636239e+02
7.000000000000000000e+00 1.632406760824583216e+02
7.500000000000000000e+00 1.758933658931019295e+02
8.000000000000000000e+00 1.895267583281545569e+02
8.500000000000000000e+00 2.042168670773466488e+02
9.000000000000000000e+00 2.200455976072661599e+02
9.500000000000000000e+00 2.371012038295539242e+02
1.000000000000000000e+01 2.554787801651858388e+02
1.050000000000000000e+01 2.752807917483703477e+02
1.100000000000000000e+01 2.966176457262423014e+02
1.150000000000000000e+01 3.196083068396632711e+02
1.200000000000000000e+01 3.443809607173313339e+02
1.250000000000000000e+01 3.710737285814316238e+02
1.300000000000000000e+01 3.998354373497056145e+02
1.350000000000000000e+01 4.308264494276841674e+02
1.400000000000000000e+01 4.642195568176332472e+02
