# M_br in Msun, transform to log10 before passing to the fit function!
# FeH       M_br1     b         alpha1    alpha2    
-2.8      1.18      0.7       -3.61     -2.55     
-2.7      1.18      0.7       -3.61     -2.55     
-2.6      1.18      0.7       -3.61     -2.55     
-2.5      1.18      0.7       -3.61     -2.55     
-2.4      1.18      0.7       -3.61     -2.55     
-2.3      1.18      0.7       -3.61     -2.55     
-2.2      1.18      0.7       -3.61     -2.55     
-2.1      1.18      0.7       -3.6      -2.55     
-2.0      1.18      0.71      -3.57     -2.56     
-1.9      1.18      0.71      -3.56     -2.55     
-1.8      1.18      0.71      -3.58     -2.54     
-1.7      1.18      0.71      -3.59     -2.53     
-1.6      1.18      0.71      -3.62     -2.52     
-1.5      1.18      0.72      -3.63     -2.51     
-1.45     1.18      0.72      -3.63     -2.5      
-1.4      1.18      0.72      -3.63     -2.5      
-1.35     1.18      0.72      -3.63     -2.5      
-1.3      1.18      0.72      -3.64     -2.5      
-1.25     1.18      0.73      -3.64     -2.5      
-1.2      1.18      0.73      -3.64     -2.5      
-1.15     1.18      0.73      -3.65     -2.5      
-1.1      1.18      0.74      -3.66     -2.51     
-1.05     1.18      0.75      -3.66     -2.51     
-1.0      1.18      0.75      -3.66     -2.52     
-0.95     1.18      0.76      -3.67     -2.52     
-0.9      1.18      0.76      -3.68     -2.53     
-0.85     1.18      0.77      -3.72     -2.52     
-0.8      1.18      0.78      -3.74     -2.52     
-0.75     1.18      0.79      -3.77     -2.52     
-0.7      1.18      0.79      -3.81     -2.52     
-0.65     1.18      0.8       -3.85     -2.52     
-0.6      1.18      0.81      -3.88     -2.51     
-0.55     1.18      0.82      -3.91     -2.53     
-0.5      1.18      0.83      -3.93     -2.53     
-0.45     1.18      0.84      -3.99     -2.53     
-0.4      1.18      0.86      -4.01     -2.55     
-0.38     1.18      0.86      -4.02     -2.55     
-0.36     1.18      0.87      -4.03     -2.56     
-0.34     1.18      0.88      -4.01     -2.57     
-0.32     1.18      0.88      -4.02     -2.58     
-0.3      1.18      0.89      -4.02     -2.59     
-0.28     1.18      0.9       -4.03     -2.6      
-0.26     1.18      0.9       -3.99     -2.62     
-0.24     1.18      0.91      -4.0      -2.62     
-0.22     1.18      0.91      -4.06     -2.62     
-0.2      1.18      0.92      -4.08     -2.62     
-0.18     1.18      0.93      -4.09     -2.62     
-0.16     1.18      0.93      -4.06     -2.64     
-0.14     1.18      0.94      -4.07     -2.65     
-0.12     1.18      0.95      -4.08     -2.65     
-0.1      1.18      0.95      -4.09     -2.66     
-0.08     1.18      0.96      -4.11     -2.66     
-0.06     1.18      0.97      -4.12     -2.67     
-0.04     1.18      0.97      -4.14     -2.68     
-0.02     1.18      0.98      -4.17     -2.68     
0.0       1.18      0.99      -4.22     -2.68     
0.02      1.18      0.99      -4.27     -2.67     
0.04      1.18      0.99      -4.22     -2.68     
0.06      1.18      1.0       -4.27     -2.68     
0.08      1.18      1.01      -4.32     -2.68     
0.1       1.18      1.01      -4.33     -2.69     
0.13      1.18      1.03      -4.44     -2.68     
0.16      1.18      1.04      -4.41     -2.7      
0.19      1.18      1.04      -4.36     -2.71     
0.22      1.18      1.05      -4.31     -2.73     
0.25      1.18      1.05      -4.27     -2.74     
0.28      1.18      1.06      -4.2      -2.76     
0.31      1.18      1.06      -4.14     -2.78     
0.34      1.18      1.07      -4.15     -2.8      
0.37      1.18      1.07      -4.14     -2.79     
0.4       1.18      1.07      -4.12     -2.79     
0.43      1.18      1.06      -3.97     -2.8      
0.46      1.18      1.05      -3.89     -2.8      
0.49      1.18      1.04      -3.72     -2.79     

# Mean chi^2 = 0.00021 +/- 6e-05
