# Z, Fe/H
0.00002 -2.80
0.00003 -2.70
0.00004 -2.60
0.00005 -2.50
0.00006 -2.40
0.00008 -2.30
0.00010 -2.20
0.00012 -2.10
0.00015 -2.00
0.00019 -1.90
0.00024 -1.80
0.00031 -1.70
0.00039 -1.60
0.00049 -1.50
0.00055 -1.45
0.00061 -1.40
0.00069 -1.35
0.00077 -1.30
0.00087 -1.25
0.00097 -1.20
0.00109 -1.15
0.00122 -1.10
0.00137 -1.05
0.00154 -1.00
0.00173 -0.95
0.00193 -0.90
0.00217 -0.85
0.00243 -0.80
0.00273 -0.75
0.00305 -0.70
0.00342 -0.65
0.00384 -0.60
0.00430 -0.55
0.00481 -0.50
0.00539 -0.45
0.00603 -0.40
0.00631 -0.38
0.00660 -0.36
0.00691 -0.34
0.00722 -0.32
0.00756 -0.30
0.00790 -0.28
0.00827 -0.26
0.00864 -0.24
0.00904 -0.22
0.00945 -0.20
0.00988 -0.18
0.01033 -0.16
0.01080 -0.14
0.01129 -0.12
0.01180 -0.10
0.01234 -0.08
0.01289 -0.06
0.01347 -0.04
0.01408 -0.02
0.01471 0.00
0.01537 0.02
0.01605 0.04
0.01677 0.06
0.01751 0.08
0.01828 0.10
0.01951 0.13
0.02081 0.16
0.02218 0.19
0.02365 0.22
0.02520 0.25
0.02684 0.28
0.02857 0.31
0.03041 0.34
0.03235 0.37
0.03440 0.40
0.03656 0.43
0.03884 0.46
0.04123 0.49
