# t[Gyr], [Fe/H]
1.250000000000000069e-02 -5.670653501382604267e-01
3.750000000000000555e-02 -5.414653495197729871e-01
6.250000000000001388e-02 -5.240250798571801649e-01
8.750000000000000833e-02 -5.100615316070825633e-01
1.125000000000000167e-01 -4.981703064051407059e-01
1.375000000000000389e-01 -4.876975589988974402e-01
1.625000000000000333e-01 -4.782746970660048946e-01
1.875000000000000555e-01 -4.696693476047010263e-01
2.125000000000000500e-01 -4.617237199152619542e-01
2.375000000000000444e-01 -4.543248143731984934e-01
2.625000000000000666e-01 -4.473883992323380854e-01
2.875000000000000888e-01 -4.408496890408969970e-01
3.125000000000000555e-01 -4.346575845849457997e-01
3.375000000000000777e-01 -4.287709388358793006e-01
3.625000000000000999e-01 -4.231560398512699828e-01
3.875000000000000666e-01 -4.177848579904246962e-01
4.125000000000000888e-01 -4.126337913827233250e-01
4.375000000000001110e-01 -4.076827466387760168e-01
4.625000000000000777e-01 -4.029144513427133090e-01
4.875000000000000999e-01 -3.983139306278728475e-01
5.125000000000000666e-01 -3.938681023469996489e-01
5.375000000000000888e-01 -3.895654595480793070e-01
5.625000000000001110e-01 -3.853958182831351831e-01
5.875000000000000222e-01 -3.813501150310151799e-01
6.125000000000000444e-01 -3.774202423000877493e-01
6.375000000000000666e-01 -3.735989139674016357e-01
6.625000000000000888e-01 -3.698795540333687515e-01
6.875000000000001110e-01 -3.662562040005188368e-01
7.125000000000001332e-01 -3.627234452024478695e-01
7.375000000000000444e-01 -3.592763332361857409e-01
7.625000000000000666e-01 -3.559103422705649500e-01
7.875000000000000888e-01 -3.526213174720205790e-01
8.125000000000001110e-01 -3.494054341477706993e-01
8.375000000000001332e-01 -3.462591624830514969e-01
8.625000000000001554e-01 -3.431792369645327301e-01
8.875000000000001776e-01 -3.401626297511775032e-01
9.125000000000000888e-01 -3.372065273875908265e-01
9.375000000000001110e-01 -3.343083103614753471e-01
9.625000000000001332e-01 -3.314655350923117472e-01
9.875000000000001554e-01 -3.286759180073625108e-01
1.012500000000000178e+00 -3.259373214171404909e-01
1.037500000000000089e+00 -3.232477409482252817e-01
1.062500000000000222e+00 -3.206052943288814072e-01
1.087500000000000133e+00 -3.180082113539209332e-01
1.112500000000000266e+00 -3.154548248809566635e-01
1.137500000000000178e+00 -3.129435627316006774e-01
1.162500000000000089e+00 -3.104729403890679751e-01
1.187500000000000222e+00 -3.080415543986938509e-01
1.212500000000000133e+00 -3.056480763905662923e-01
1.237500000000000266e+00 -3.032912476542081182e-01
1.262500000000000178e+00 -3.009698742043854236e-01
1.287500000000000311e+00 -2.986828222848944558e-01
1.312500000000000222e+00 -2.964290142638378311e-01
1.337500000000000133e+00 -2.942074248796230918e-01
1.362500000000000266e+00 -2.920170778018256752e-01
1.387500000000000178e+00 -2.898570424753167951e-01
1.412500000000000311e+00 -2.877264312197231333e-01
1.437500000000000222e+00 -2.856243965594900125e-01
1.462500000000000133e+00 -2.835501287625879496e-01
1.487500000000000266e+00 -2.815028535683338218e-01
1.512500000000000178e+00 -2.794818300869181260e-01
1.537500000000000311e+00 -2.774863488550887158e-01
1.562500000000000222e+00 -2.755157300340776994e-01
1.587500000000000355e+00 -2.735693217372961450e-01
1.612500000000000266e+00 -2.716464984765927793e-01
1.637500000000000178e+00 -2.697466597169977942e-01
1.662500000000000311e+00 -2.678692285308632015e-01
1.687500000000000222e+00 -2.660136503432057875e-01
1.712500000000000355e+00 -2.641793917608322162e-01
1.737500000000000266e+00 -2.623659394785365917e-01
1.762500000000000400e+00 -2.605727992562799633e-01
1.787500000000000311e+00 -2.587994949618267482e-01
1.812500000000000222e+00 -2.570455676738053752e-01
1.837500000000000355e+00 -2.553105748406163111e-01
1.862500000000000266e+00 -2.535940894910163612e-01
1.887500000000000400e+00 -2.518956994925578563e-01
1.912500000000000311e+00 -2.502150068544107819e-01
1.937500000000000222e+00 -2.485516270713644393e-01
1.962500000000000355e+00 -2.469051885060989382e-01
1.987500000000000266e+00 -2.452753318070362010e-01
2.012500000000000622e+00 -2.436617093593123895e-01
2.037500000000000533e+00 -2.420639847666065381e-01
2.062500000000000444e+00 -2.404818323617422537e-01
2.087500000000000799e+00 -2.389149367441405492e-01
2.112500000000000711e+00 -2.373629923423569155e-01
2.137500000000000622e+00 -2.358257030000635857e-01
2.162500000000000533e+00 -2.343027815839696659e-01
2.187500000000000444e+00 -2.327939496122793939e-01
2.212500000000000799e+00 -2.312989369023991104e-01
2.237500000000000711e+00 -2.298174812366884368e-01
2.262500000000000622e+00 -2.283493280451494023e-01
2.287500000000000533e+00 -2.268942301040185738e-01
2.312500000000000444e+00 -2.254519472493056176e-01
2.337500000000000799e+00 -2.240222461043848423e-01
2.362500000000000711e+00 -2.226048998208134400e-01
2.387500000000000622e+00 -2.211996878316014881e-01
2.412500000000000533e+00 -2.198063956162157606e-01
2.437500000000000444e+00 -2.184248144766450517e-01
2.462500000000000799e+00 -2.170547413239024837e-01
2.487500000000000711e+00 -2.156959784743773256e-01
2.512500000000000622e+00 -2.143483334554912856e-01
2.537500000000000533e+00 -2.130116188201479910e-01
2.562500000000000888e+00 -2.116856519694957361e-01
2.587500000000000799e+00 -2.103702549835560764e-01
2.612500000000000711e+00 -2.090652544592989381e-01
2.637500000000000622e+00 -2.077704813557693375e-01
2.662500000000000533e+00 -2.064857708458962549e-01
2.687500000000000888e+00 -2.052109621746372459e-01
2.712500000000000799e+00 -2.039458985231332178e-01
2.737500000000000711e+00 -2.026904268785646446e-01
2.762500000000000622e+00 -2.014443979094255321e-01
2.787500000000000533e+00 -2.002076658459382152e-01
2.812500000000000888e+00 -1.989800883653589092e-01
2.837500000000000799e+00 -1.977615264819308216e-01
2.862500000000000711e+00 -1.965518444412578947e-01
2.887500000000000622e+00 -1.953509096188871808e-01
2.912500000000000533e+00 -1.941585924228957372e-01
2.937500000000000888e+00 -1.929747662002942732e-01
2.962500000000000799e+00 -1.917993071470652788e-01
2.987500000000000711e+00 -1.906320942216670478e-01
3.012500000000000622e+00 -1.894730090618427509e-01
3.037500000000000977e+00 -1.883219359045811558e-01
3.062500000000000888e+00 -1.871787615090882428e-01
3.087500000000000799e+00 -1.860433750826299137e-01
3.112500000000000711e+00 -1.849156682091189774e-01
3.137500000000000622e+00 -1.837955347803244266e-01
3.162500000000000977e+00 -1.826828709295864328e-01
3.187500000000000888e+00 -1.815775749679247320e-01
3.212500000000000799e+00 -1.804795473224424240e-01
3.237500000000000711e+00 -1.793886904769195767e-01
3.262500000000000622e+00 -1.783049089145071209e-01
3.287500000000000977e+00 -1.772281090624288347e-01
3.312500000000000888e+00 -1.761581992386084816e-01
3.337500000000000799e+00 -1.750950896001415291e-01
3.362500000000000711e+00 -1.740386920935328707e-01
3.387500000000000622e+00 -1.729889204066292485e-01
3.412500000000000977e+00 -1.719456899221773749e-01
3.437500000000000888e+00 -1.709089176729391146e-01
3.462500000000000799e+00 -1.698785222983036636e-01
3.487500000000000711e+00 -1.688544240023339693e-01
3.512500000000001066e+00 -1.678365445131937417e-01
3.537500000000000977e+00 -1.668248070438958230e-01
3.562500000000000888e+00 -1.658191362543250114e-01
3.587500000000000799e+00 -1.648194582144806297e-01
3.612500000000000711e+00 -1.638257003688962377e-01
3.637500000000001066e+00 -1.628377915021869959e-01
3.662500000000000977e+00 -1.618556617056852720e-01
3.687500000000000888e+00 -1.608792423451215481e-01
3.712500000000000799e+00 -1.599084660293078886e-01
3.737500000000000711e+00 -1.589432665797942956e-01
3.762500000000001066e+00 -1.579835790014533226e-01
