# t[Gyr], SFR_thin.d[Msun/pc^2/Gyr]
1.250000000000000069e-02 4.700757814055040243e-03
3.750000000000000555e-02 2.677883952287348282e-02
6.250000000000001388e-02 5.956681320980437150e-02
8.750000000000000833e-02 1.002509336673428758e-01
1.125000000000000167e-01 1.472391198748384533e-01
1.375000000000000389e-01 1.994304220718541298e-01
1.625000000000000333e-01 2.559908936097358700e-01
1.875000000000000555e-01 3.162548413448584284e-01
2.125000000000000500e-01 3.796726230116359568e-01
2.375000000000000444e-01 4.457796992916889800e-01
2.625000000000000666e-01 5.141767600966306029e-01
2.875000000000000888e-01 5.845161830680457582e-01
3.125000000000000555e-01 6.564923739951548098e-01
3.375000000000000777e-01 7.298346199876846185e-01
3.625000000000000999e-01 8.043016418963798708e-01
3.875000000000000666e-01 8.796773380197724368e-01
4.125000000000000888e-01 9.557673886259900886e-01
4.375000000000001110e-01 1.032396498724698963e+00
4.625000000000000777e-01 1.109406124698946172e+00
4.875000000000000999e-01 1.186652574922514303e+00
5.125000000000000666e-01 1.264005404398851340e+00
5.375000000000000888e-01 1.341346044064457566e+00
5.625000000000001110e-01 1.418566619914778837e+00
5.875000000000000222e-01 1.495568927538677428e+00
6.125000000000000444e-01 1.572263535273101143e+00
6.375000000000000666e-01 1.648568994855695191e+00
6.625000000000000888e-01 1.724411142724658008e+00
6.875000000000001110e-01 1.799722478378356083e+00
7.125000000000001332e-01 1.874441608730374575e+00
7.375000000000000444e-01 1.948512749368547903e+00
7.625000000000000666e-01 2.021885275185006048e+00
7.875000000000000888e-01 2.094513314087132816e+00
8.125000000000001110e-01 2.166355378499436046e+00
8.375000000000001332e-01 2.237374030177544881e+00
8.625000000000001554e-01 2.307535574518775778e+00
8.875000000000001776e-01 2.376809781099804120e+00
9.125000000000000888e-01 2.445169627624594888e+00
9.375000000000001110e-01 2.512591064843440414e+00
9.625000000000001332e-01 2.579052800320836614e+00
9.875000000000001554e-01 2.644536099197349444e+00
1.012500000000000178e+00 2.709024600317632814e+00
1.037500000000000089e+00 2.772504146290109883e+00
1.062500000000000222e+00 2.834962626209719172e+00
1.087500000000000133e+00 2.896389829917718206e+00
1.112500000000000266e+00 2.956777312795875634e+00
1.137500000000000178e+00 3.016118270199368734e+00
1.162500000000000089e+00 3.074407420725917994e+00
1.187500000000000222e+00 3.131640897600179940e+00
1.212500000000000133e+00 3.187816147523977683e+00
1.237500000000000266e+00 3.242931836405827717e+00
1.262500000000000178e+00 3.296987761438906261e+00
1.287500000000000311e+00 3.349984769045736055e+00
1.312500000000000222e+00 3.401924678251707412e+00
1.337500000000000133e+00 3.452810209088505555e+00
1.362500000000000266e+00 3.502644915663234215e+00
1.387500000000000178e+00 3.551433123560352900e+00
1.412500000000000311e+00 3.599179871271334985e+00
1.437500000000000222e+00 3.645890855372238892e+00
1.462500000000000133e+00 3.691572379192043396e+00
1.487500000000000266e+00 3.736231304735039060e+00
1.512500000000000178e+00 3.779875007639233342e+00
1.537500000000000311e+00 3.822511334969437957e+00
1.562500000000000222e+00 3.864148565659066836e+00
1.587500000000000355e+00 3.904795373428616045e+00
1.612500000000000266e+00 3.944460792021393658e+00
1.637500000000000178e+00 3.983154182608843907e+00
1.662500000000000311e+00 4.020885203228164784e+00
1.687500000000000222e+00 4.057663780124896036e+00
1.712500000000000355e+00 4.093500080881883108e+00
1.737500000000000266e+00 4.128404489224293705e+00
1.762500000000000400e+00 4.162387581397940295e+00
1.787500000000000311e+00 4.195460104024954617e+00
1.812500000000000222e+00 4.227632953347445266e+00
1.837500000000000355e+00 4.258917155775550967e+00
1.862500000000000266e+00 4.289323849661790256e+00
1.887500000000000400e+00 4.318864268228763237e+00
1.912500000000000311e+00 4.347549723581730419e+00
1.937500000000000222e+00 4.375391591742189945e+00
1.962500000000000355e+00 4.402401298642415028e+00
1.987500000000000266e+00 4.428590307024701467e+00
2.012500000000000622e+00 4.453970104192682022e+00
2.037500000000000533e+00 4.478552190565062041e+00
2.062500000000000444e+00 4.502348068985388529e+00
2.087500000000000799e+00 4.525369234744120561e+00
2.112500000000000711e+00 4.547627166271956511e+00
2.137500000000000622e+00 4.569133316465823214e+00
2.162500000000000533e+00 4.589899104611165903e+00
2.187500000000000444e+00 4.609935908866425791e+00
2.212500000000000799e+00 4.629255059277431528e+00
2.237500000000000711e+00 4.647867831291461194e+00
2.262500000000000622e+00 4.665785439742398566e+00
2.287500000000000533e+00 4.683019033280026555e+00
2.312500000000000444e+00 4.699579689218168710e+00
2.337500000000000799e+00 4.715478408777646457e+00
2.362500000000000711e+00 4.730726112701540309e+00
2.387500000000000622e+00 4.745333637221450296e+00
2.412500000000000533e+00 4.759311730354589542e+00
2.437500000000000444e+00 4.772671048512846959e+00
2.462500000000000799e+00 4.785422153405755274e+00
2.487500000000000711e+00 4.797575509220548540e+00
2.512500000000000622e+00 4.809141480063249929e+00
2.537500000000000533e+00 4.820130327645701485e+00
2.562500000000000888e+00 4.830552209204292957e+00
2.587500000000000799e+00 4.840417175636803293e+00
2.612500000000000711e+00 4.849735169844691107e+00
2.637500000000000622e+00 4.858516025268713179e+00
2.662500000000000533e+00 4.866769464606458762e+00
2.687500000000000888e+00 4.874505098701079397e+00
2.712500000000000799e+00 4.881732425590921132e+00
2.737500000000000711e+00 4.888460829710451705e+00
2.762500000000000622e+00 4.894699581233381558e+00
2.787500000000000533e+00 4.900457835549254071e+00
2.812500000000000888e+00 4.905744632865438604e+00
2.837500000000000799e+00 4.910568897926701482e+00
2.862500000000000711e+00 4.914939439845093183e+00
2.887500000000000622e+00 4.918864952033197291e+00
2.912500000000000533e+00 4.922354012234198883e+00
2.937500000000000888e+00 4.925415082642592424e+00
2.962500000000000799e+00 4.928056510109605881e+00
2.987500000000000711e+00 4.930286526427845040e+00
3.012500000000000622e+00 4.932113248689882212e+00
3.037500000000000977e+00 4.933544679715787140e+00
3.062500000000000888e+00 4.934588708544966451e+00
3.087500000000000799e+00 4.935253110987767755e+00
3.112500000000000711e+00 4.935545550232726342e+00
3.137500000000000622e+00 4.935473577505396392e+00
3.162500000000000977e+00 4.935044632775032802e+00
3.187500000000000888e+00 4.934266045505584231e+00
3.212500000000000799e+00 4.933145035447561000e+00
3.237500000000000711e+00 4.931688713467637264e+00
3.262500000000000622e+00 4.929904082412964961e+00
3.287500000000000977e+00 4.927798038007329851e+00
3.312500000000000888e+00 4.925377369776495762e+00
3.337500000000000799e+00 4.922648762000144451e+00
3.362500000000000711e+00 4.919618794688047636e+00
3.387500000000000622e+00 4.916293944578170816e+00
3.412500000000000977e+00 4.912680586154562157e+00
3.437500000000000888e+00 4.908784992683059123e+00
3.462500000000000799e+00 4.904613337262814454e+00
3.487500000000000711e+00 4.900171693891899771e+00
3.512500000000001066e+00 4.895466038545271736e+00
3.537500000000000977e+00 4.890502250263463857e+00
3.562500000000000888e+00 4.885286112250583734e+00
3.587500000000000799e+00 4.879823312980064998e+00
3.612500000000000711e+00 4.874119447306938469e+00
3.637500000000001066e+00 4.868180017585312491e+00
3.662500000000000977e+00 4.862010434789855395e+00
3.687500000000000888e+00 4.855616019640259573e+00
3.712500000000000799e+00 4.849002003727489907e+00
3.737500000000000711e+00 4.842173530640970114e+00
3.762500000000001066e+00 4.835135657095690043e+00
3.787500000000000977e+00 4.827893354058403474e+00
3.812500000000000888e+00 4.820451507872131280e+00
3.837500000000000799e+00 4.812814921378127053e+00
3.862500000000000711e+00 4.804988315034683488e+00
3.887500000000001066e+00 4.796976328032052095e+00
3.912500000000000977e+00 4.788783519402863398e+00
3.937500000000000888e+00 4.780414369127518270e+00
3.962500000000000799e+00 4.771873279233942888e+00
3.987500000000001155e+00 4.763164574891226799e+00
4.012500000000001066e+00 4.754292505496700016e+00
4.037500000000000533e+00 4.745261245755983737e+00
4.062500000000000888e+00 4.736074896755650521e+00
4.087500000000001243e+00 4.726737487028066731e+00
4.112500000000000711e+00 4.717252973608137445e+00
4.137500000000001066e+00 4.707625243081595023e+00
4.162500000000001421e+00 4.697858112624540894e+00
4.187500000000000888e+00 4.687955331034045159e+00
4.212500000000001243e+00 4.677920579749420327e+00
4.237500000000000711e+00 4.667757473864115880e+00
4.262500000000001066e+00 4.657469563127921930e+00
4.287500000000001421e+00 4.647060332939296323e+00
4.312500000000000888e+00 4.636533205327791229e+00
4.337500000000001243e+00 4.625891539926194618e+00
4.362500000000000711e+00 4.615138634932532291e+00
4.387500000000001066e+00 4.604277728061597408e+00
4.412500000000001421e+00 4.593311997486027032e+00
4.437500000000000888e+00 4.582244562766830676e+00
4.462500000000001243e+00 4.571078485773234945e+00
4.487500000000000711e+00 4.559816771591878926e+00
4.512500000000001066e+00 4.548462369425249285e+00
4.537500000000001421e+00 4.537018173479321348e+00
4.562500000000000888e+00 4.525487023840446099e+00
4.587500000000001243e+00 4.513871707341352568e+00
4.612500000000000711e+00 4.502174958416388151e+00
4.637500000000001066e+00 4.490399459945902727e+00
4.662500000000001421e+00 4.478547844089813879e+00
4.687500000000000888e+00 4.466622693110426034e+00
4.712500000000001243e+00 4.454626540184405847e+00
4.737500000000000711e+00 4.442561870204090546e+00
4.762500000000001066e+00 4.430431120568059100e+00
4.787500000000001421e+00 4.418236681961031920e+00
4.812500000000000888e+00 4.405980899123234984e+00
4.837500000000001243e+00 4.393666071609100499e+00
4.862500000000000711e+00 4.381294454535574090e+00
4.887500000000001066e+00 4.368868259319942382e+00
4.912500000000001421e+00 4.356389654407275103e+00
4.937500000000000888e+00 4.343860765987646921e+00
4.962500000000001243e+00 4.331283678703052864e+00
4.987500000000000711e+00 4.318660436344242903e+00
5.012500000000001066e+00 4.305993042537489046e+00
5.037500000000001421e+00 4.293283461421326663e+00
5.062500000000000888e+00 4.280533618313498323e+00
5.087500000000001243e+00 4.267745400367984665e+00
5.112500000000001599e+00 4.254920657222422520e+00
5.137500000000001066e+00 4.242061201635840106e+00
5.162500000000001421e+00 4.229168810116896715e+00
5.187500000000000888e+00 4.216245223542702369e+00
5.212500000000001243e+00 4.203292147768276088e+00
5.237500000000001599e+00 4.190311254226812387e+00
5.262500000000001066e+00 4.177304180520799548e+00
5.287500000000001421e+00 4.164272531004108657e+00
5.312500000000000888e+00 4.151217877355193764e+00
5.337500000000001243e+00 4.138141759141417353e+00
