# t[Gyr], SFR_thick.d[Msun/pc^2/Gyr]
1.250000000000000069e-02 1.383447475585637854e+00
3.750000000000000555e-02 1.893486551973866172e+00
6.250000000000001388e-02 2.423052111826536681e+00
8.750000000000000833e-02 2.955682360340830428e+00
1.125000000000000167e-01 3.478341932375632606e+00
1.375000000000000389e-01 3.980895848475216159e+00
1.625000000000000333e-01 4.455653216286514784e+00
1.875000000000000555e-01 4.896972209647563190e+00
2.125000000000000500e-01 5.300918826601417777e+00
2.375000000000000444e-01 5.664972790316489260e+00
2.625000000000000666e-01 5.987774724651195868e+00
2.875000000000000888e-01 6.268909419000870287e+00
3.125000000000000555e-01 6.508720604171488233e+00
3.375000000000000777e-01 6.708153200458612631e+00
3.625000000000000999e-01 6.868619478145446600e+00
3.875000000000000666e-01 6.991885995784596908e+00
4.125000000000000888e-01 7.079978558725575688e+00
4.375000000000001110e-01 7.135102774612566812e+00
4.625000000000000777e-01 7.159578078673701995e+00
4.875000000000000999e-01 7.155783363729197433e+00
5.125000000000000666e-01 7.126112581694774128e+00
5.375000000000000888e-01 7.072938888285108305e+00
5.625000000000001110e-01 6.998586083610573993e+00
5.875000000000000222e-01 6.905306261071594065e+00
6.125000000000000444e-01 6.795262717765099936e+00
6.375000000000000666e-01 6.670517303647855556e+00
6.625000000000000888e-01 6.533021495843735593e+00
6.875000000000001110e-01 6.384610580423520254e+00
7.125000000000001332e-01 6.227000408229547368e+00
7.375000000000000444e-01 6.061786265203640944e+00
7.625000000000000666e-01 5.890443462397142227e+00
7.875000000000000888e-01 5.714329307458577034e+00
8.125000000000001110e-01 5.534686168851607135e+00
8.375000000000001332e-01 5.352645387192561444e+00
8.625000000000001554e-01 5.169231825659752921e+00
8.875000000000001776e-01 4.985368884077542084e+00
9.125000000000000888e-01 4.801883829605403164e+00
9.375000000000001110e-01 4.619513321487279001e+00
9.625000000000001332e-01 4.438909028501551113e+00
9.875000000000001554e-01 4.260643256006649615e+00
1.012500000000000178e+00 4.085214515164229176e+00
1.037500000000000089e+00 3.913052980361160671e+00
1.062500000000000222e+00 3.744525792327436875e+00
1.087500000000000133e+00 3.579942174208865513e+00
1.112500000000000266e+00 3.419558336122671793e+00
1.137500000000000178e+00 3.263582150695084394e+00
1.162500000000000089e+00 3.112177587924051636e+00
1.187500000000000222e+00 2.965468902578532795e+00
1.212500000000000133e+00 2.823544571370519396e+00
1.237500000000000266e+00 2.686460980433560852e+00
1.262500000000000178e+00 2.554245866314195368e+00
1.287500000000000311e+00 2.426901515819298805e+00
1.312500000000000222e+00 2.304407731741450416e+00
1.337500000000000133e+00 2.186724572773810493e+00
1.362500000000000266e+00 2.073794876885287408e+00
1.387500000000000178e+00 1.965546578107624232e+00
1.412500000000000311e+00 1.861894827133299124e+00
1.437500000000000222e+00 1.762743926375801351e+00
1.462500000000000133e+00 1.667989090235491245e+00
1.487500000000000266e+00 1.577518041273958671e+00
1.512500000000000178e+00 1.491212452852497039e+00
1.537500000000000311e+00 1.408949248557447742e+00
1.562500000000000222e+00 1.330601768435077936e+00
1.587500000000000355e+00 1.256040811706886196e+00
1.612500000000000266e+00 1.185135565246047573e+00
1.637500000000000178e+00 1.117754426678264634e+00
1.662500000000000311e+00 1.053765730535013212e+00
1.687500000000000222e+00 9.930383854417825784e-01
1.712500000000000355e+00 9.354424298750116940e-01
1.737500000000000266e+00 8.808495135742473447e-01
1.762500000000000400e+00 8.291333112549286177e-01
1.787500000000000311e+00 7.801698748356595825e-01
1.812500000000000222e+00 7.338379299744827167e-01
1.837500000000000355e+00 6.900191223037278609e-01
1.862500000000000266e+00 6.485982183639646959e-01
1.887500000000000400e+00 6.094632658655770863e-01
1.912500000000000311e+00 5.725057175522865194e-01
1.937500000000000222e+00 5.376205226049037833e-01
1.962500000000000355e+00 5.047061892059709898e-01
1.987500000000000266e+00 4.736648215866038902e-01
2.012500000000000622e+00 4.444021345955899704e-01
2.037500000000000533e+00 4.168274485672681662e-01
2.062500000000000444e+00 3.908536670183801465e-01
2.087500000000000799e+00 3.663972394744603456e-01
2.112500000000000711e+00 3.433781115126772754e-01
2.137500000000000622e+00 3.217196639097769095e-01
2.162500000000000533e+00 3.013486426001334983e-01
2.187500000000000444e+00 2.821950809791663461e-01
2.212500000000000799e+00 2.641922159308158768e-01
2.237500000000000711e+00 2.472763988136242874e-01
2.262500000000000622e+00 2.313870025075197290e-01
2.287500000000000533e+00 2.164663255019468602e-01
2.312500000000000444e+00 2.024594938948026390e-01
2.337500000000000799e+00 1.893143620700747931e-01
2.362500000000000711e+00 1.769814127294696282e-01
2.387500000000000622e+00 1.654136568690469655e-01
2.412500000000000533e+00 1.545665342153413613e-01
2.437500000000000444e+00 1.443978145660864965e-01
2.462500000000000799e+00 1.348675004179331338e-01
2.487500000000000711e+00 1.259377312069327182e-01
2.512500000000000622e+00 1.175726894366082020e-01
2.537500000000000533e+00 1.097385089226515092e-01
2.562500000000000888e+00 1.024031853422903288e-01
2.587500000000000799e+00 9.553648923973760698e-02
2.612500000000000711e+00 8.910988160650092083e-02
2.637500000000000622e+00 8.309643212637227161e-02
2.662500000000000533e+00 7.747074014926987051e-02
2.687500000000000888e+00 7.220885843551463901e-02
2.712500000000000799e+00 6.728821969228829247e-02
2.737500000000000711e+00 6.268756590668120299e-02
2.762500000000000622e+00 5.838688046468842874e-02
2.787500000000000533e+00 5.436732303248974912e-02
2.812500000000000888e+00 5.061116716519468289e-02
2.837500000000000799e+00 4.710174059873729197e-02
2.862500000000000711e+00 4.382336817259955414e-02
2.887500000000000622e+00 4.076131732439013805e-02
2.912500000000000533e+00 3.790174609183456778e-02
2.937500000000000888e+00 3.523165355334308135e-02
2.962500000000000799e+00 3.273883263487609163e-02
2.987500000000000711e+00 3.041182520821915716e-02
3.012500000000000622e+00 2.823987940392301901e-02
3.037500000000000977e+00 2.621290906094977946e-02
3.062500000000000888e+00 2.432145523443418611e-02
3.087500000000000799e+00 2.255664968282984628e-02
3.112500000000000711e+00 2.091018025600607788e-02
3.137500000000000622e+00 1.937425810653120931e-02
3.162500000000000977e+00 1.794158664736459838e-02
3.187500000000000888e+00 1.660533218044121101e-02
3.212500000000000799e+00 1.535909612211899984e-02
3.237500000000000711e+00 1.419688875313641907e-02
3.262500000000000622e+00 1.311310442255973069e-02
3.287500000000000977e+00 1.210249813715445592e-02
