# t[Gyr], fraction_in_stars&remnants_thick.d
1.250000000000000069e-02 6.483249845929299759e-01
3.750000000000000555e-02 6.476073241297062300e-01
6.250000000000001388e-02 6.474376989329794219e-01
8.750000000000000833e-02 6.469598087248049634e-01
1.125000000000000167e-01 6.492887188061546855e-01
1.375000000000000389e-01 6.490600802358357235e-01
1.625000000000000333e-01 6.486716876112721408e-01
1.875000000000000555e-01 6.484432951200761464e-01
2.125000000000000500e-01 6.480553521355378876e-01
2.375000000000000444e-01 6.478272503651214542e-01
2.625000000000000666e-01 6.475992777768054820e-01
2.875000000000000888e-01 6.474249619984013826e-01
3.125000000000000555e-01 6.498004903119425357e-01
3.375000000000000777e-01 6.490346864957977635e-01
3.625000000000000999e-01 6.486872134421910463e-01
3.875000000000000666e-01 6.482708276140616288e-01
4.125000000000000888e-01 6.479242982067463519e-01
4.375000000000001110e-01 6.475086408289758566e-01
4.625000000000000777e-01 6.500464340145150066e-01
4.875000000000000999e-01 6.496467776035296238e-01
5.125000000000000666e-01 6.493175149036860550e-01
5.375000000000000888e-01 6.493179056052045262e-01
5.625000000000001110e-01 6.489892764134852499e-01
5.875000000000000222e-01 6.485909215515107684e-01
6.125000000000000444e-01 6.482634345922995145e-01
6.375000000000000666e-01 6.508776859795742942e-01
6.625000000000000888e-01 6.508780811082960360e-01
6.875000000000001110e-01 6.505669387274264359e-01
7.125000000000001332e-01 6.503479343423330672e-01
7.375000000000000444e-01 6.503483321732272948e-01
7.625000000000000666e-01 6.500929619468244214e-01
7.875000000000000888e-01 6.528487936967793948e-01
8.125000000000001110e-01 6.528491942650400670e-01
8.375000000000001332e-01 6.526703765463255369e-01
8.625000000000001554e-01 6.526707789593836351e-01
8.875000000000001776e-01 6.524925746620161560e-01
9.125000000000000888e-01 6.524929789360200960e-01
9.375000000000001110e-01 6.523154043673157210e-01
9.625000000000001332e-01 6.523158105186226408e-01
9.875000000000001554e-01 6.550643190360818657e-01
1.012500000000000178e+00 6.550647270812616219e-01
1.037500000000000089e+00 6.550651360796587719e-01
1.062500000000000222e+00 6.548930259015236510e-01
1.087500000000000133e+00 6.548934368190545419e-01
1.112500000000000266e+00 6.548938487025572908e-01
1.137500000000000178e+00 6.547222764902809189e-01
1.162500000000000089e+00 6.547226903186773583e-01
1.187500000000000222e+00 6.547231051260526957e-01
1.212500000000000133e+00 6.574596499057570043e-01
1.237500000000000266e+00 6.574600666842981278e-01
1.262500000000000178e+00 6.574604844550846483e-01
1.287500000000000311e+00 6.574609032225976479e-01
1.312500000000000222e+00 6.572947056958272638e-01
1.337500000000000133e+00 6.572951264703557062e-01
1.362500000000000266e+00 6.572955482552335083e-01
1.387500000000000178e+00 6.572959710550628776e-01
1.412500000000000311e+00 6.600890732543611694e-01
1.437500000000000222e+00 6.600894980980233084e-01
1.462500000000000133e+00 6.600899239706294885e-01
1.487500000000000266e+00 6.600903508769069283e-01
1.512500000000000178e+00 6.600907788216149319e-01
1.537500000000000311e+00 6.600912078095451108e-01
1.562500000000000222e+00 6.599305050190875654e-01
1.587500000000000355e+00 6.599309361079679359e-01
1.612500000000000266e+00 6.599313682546423809e-01
1.637500000000000178e+00 6.599318014640347396e-01
1.662500000000000311e+00 6.599322357411024909e-01
1.687500000000000222e+00 6.599326710908376414e-01
1.712500000000000355e+00 6.599331075182662820e-01
1.737500000000000266e+00 6.599335450284493643e-01
1.762500000000000400e+00 6.626388348519971494e-01
1.787500000000000311e+00 6.626392745430125242e-01
1.812500000000000222e+00 6.626397153321766931e-01
1.837500000000000355e+00 6.626401572246929383e-01
1.862500000000000266e+00 6.626406002258005135e-01
1.887500000000000400e+00 6.626410443407758644e-01
1.912500000000000311e+00 6.626414895749319633e-01
1.937500000000000222e+00 6.626419359336194193e-01
1.962500000000000355e+00 6.626423834222265885e-01
1.987500000000000266e+00 6.626428320461799082e-01
2.012500000000000622e+00 6.626432818109441181e-01
2.037500000000000533e+00 6.626437327220229268e-01
2.062500000000000444e+00 6.626441847849591227e-01
2.087500000000000799e+00 6.626446380053350182e-01
2.112500000000000711e+00 6.654036189223307973e-01
2.137500000000000622e+00 6.654040744744931235e-01
2.162500000000000533e+00 6.654045312010832269e-01
2.187500000000000444e+00 6.654049891078452905e-01
2.212500000000000799e+00 6.654054482005649085e-01
2.237500000000000711e+00 6.654059084850696415e-01
2.262500000000000622e+00 6.654063699672293497e-01
2.287500000000000533e+00 6.654068326529564148e-01
2.312500000000000444e+00 6.654072965482062951e-01
2.337500000000000799e+00 6.654077616589779698e-01
2.362500000000000711e+00 6.654082279913141607e-01
2.387500000000000622e+00 6.654086955513021095e-01
2.412500000000000533e+00 6.654091643450736893e-01
2.437500000000000444e+00 6.654096343788059587e-01
2.462500000000000799e+00 6.654101056587217178e-01
2.487500000000000711e+00 6.654105781910895079e-01
2.512500000000000622e+00 6.654110519822249437e-01
2.537500000000000533e+00 6.654115270384899361e-01
2.562500000000000888e+00 6.654120033662943579e-01
2.587500000000000799e+00 6.654124809720958211e-01
2.612500000000000711e+00 6.654129598624003439e-01
2.637500000000000622e+00 6.654134400437626828e-01
2.662500000000000533e+00 6.654139215227871107e-01
2.687500000000000888e+00 6.654144043061275271e-01
2.712500000000000799e+00 6.654148884004884579e-01
2.737500000000000711e+00 6.654153738126250550e-01
2.762500000000000622e+00 6.654158605493438738e-01
2.787500000000000533e+00 6.654163486175033171e-01
2.812500000000000888e+00 6.654168380240141900e-01
2.837500000000000799e+00 6.682311175802315706e-01
2.862500000000000711e+00 6.682316096843899933e-01
2.887500000000000622e+00 6.682321031479521167e-01
2.912500000000000533e+00 6.682325979780434633e-01
2.937500000000000888e+00 6.682330941818449555e-01
2.962500000000000799e+00 6.682335917665931380e-01
2.987500000000000711e+00 6.682340907395808438e-01
3.012500000000000622e+00 6.682345911081575274e-01
3.037500000000000977e+00 6.682350928797302636e-01
3.062500000000000888e+00 6.682355960617640811e-01
3.087500000000000799e+00 6.682361006617824062e-01
3.112500000000000711e+00 6.682366066873681731e-01
3.137500000000000622e+00 6.682371141461639352e-01
3.162500000000000977e+00 6.682376230458728639e-01
3.187500000000000888e+00 6.682381333942590818e-01
3.212500000000000799e+00 6.682386451991484400e-01
3.237500000000000711e+00 6.682391584684294061e-01
3.262500000000000622e+00 6.682396732100530645e-01
3.287500000000000977e+00 6.682401894320345592e-01
3.312500000000000888e+00 6.682407071424532052e-01
3.337500000000000799e+00 6.682412263494534876e-01
3.362500000000000711e+00 6.682417470612456167e-01
3.387500000000000622e+00 6.682422692861061941e-01
3.412500000000000977e+00 6.682427930323791010e-01
3.437500000000000888e+00 6.682433183084761641e-01
3.462500000000000799e+00 6.682438451228776000e-01
3.487500000000000711e+00 6.682443734841332361e-01
3.512500000000001066e+00 6.710320484214666870e-01
3.537500000000000977e+00 6.710325799023609816e-01
3.562500000000000888e+00 6.710331129561822872e-01
3.587500000000000799e+00 6.710336475917655363e-01
3.612500000000000711e+00 6.710341838180184926e-01
3.637500000000001066e+00 6.710347216439234153e-01
3.662500000000000977e+00 6.710352610785371708e-01
3.687500000000000888e+00 6.710358021309922316e-01
3.712500000000000799e+00 6.710363448104976758e-01
3.737500000000000711e+00 6.710368891263400748e-01
3.762500000000001066e+00 6.710374350878838268e-01
3.787500000000000977e+00 6.710379827045728218e-01
3.812500000000000888e+00 6.710385319859306641e-01
3.837500000000000799e+00 6.710390829415620040e-01
3.862500000000000711e+00 6.710396355811529823e-01
3.887500000000001066e+00 6.710401899144726734e-01
3.912500000000000977e+00 6.710407459513739736e-01
3.937500000000000888e+00 6.710413037017938231e-01
3.962500000000000799e+00 6.710418631757552044e-01
3.987500000000001155e+00 6.710424243833673641e-01
