# z[pc], Phi[m^2/s^2]
1.000000000000000000e+00 2.446475911382008417e+04
3.000000000000000000e+00 8.828843842928030062e+04
5.000000000000000000e+00 1.718860875679109013e+05
7.000000000000000000e+00 2.751562507115602493e+05
9.000000000000000000e+00 3.979979712230796576e+05
1.100000000000000000e+01 5.403107899332754314e+05
1.300000000000000000e+01 7.019947434308411321e+05
1.500000000000000000e+01 8.829503623552731005e+05
1.700000000000000000e+01 1.083078669692765689e+06
1.900000000000000000e+01 1.302281179075089982e+06
2.100000000000000000e+01 1.540459893081451999e+06
2.300000000000000000e+01 1.797517301543335896e+06
2.500000000000000000e+01 2.073356379852322396e+06
2.700000000000000000e+01 2.367880587270899676e+06
2.900000000000000000e+01 2.680993865246240515e+06
3.100000000000000000e+01 3.012600635726979002e+06
3.300000000000000000e+01 3.362605799482949078e+06
3.500000000000000000e+01 3.730914734427926131e+06
3.700000000000000000e+01 4.117433293945329729e+06
3.900000000000000000e+01 4.522067805216923356e+06
4.100000000000000000e+01 4.944725067554485984e+06
4.300000000000000000e+01 5.385312350734474137e+06
4.500000000000000000e+01 5.843737393335650675e+06
4.700000000000000000e+01 6.319908401079719886e+06
4.900000000000000000e+01 6.813734045174908824e+06
5.100000000000000000e+01 7.325123460662571713e+06
5.300000000000000000e+01 7.853986244766741991e+06
5.500000000000000000e+01 8.400232455246679485e+06
5.700000000000000000e+01 8.963772608752408996e+06
5.900000000000000000e+01 9.544517679183209315e+06
6.100000000000000000e+01 1.014237909604912437e+07
6.300000000000000000e+01 1.075726874283543229e+07
6.500000000000000000e+01 1.138909895537008718e+07
6.700000000000000000e+01 1.203778252019416913e+07
6.900000000000000000e+01 1.270323267293529771e+07
7.100000000000000000e+01 1.338536309668402746e+07
7.300000000000000000e+01 1.408408792037323490e+07
7.500000000000000000e+01 1.479932171716046706e+07
7.700000000000000000e+01 1.553097950281331316e+07
7.900000000000000000e+01 1.627897673409770057e+07
8.100000000000000000e+01 1.704322930716920644e+07
8.300000000000000000e+01 1.782365355596737936e+07
8.500000000000000000e+01 1.862016625061295927e+07
8.700000000000000000e+01 1.943268459580817074e+07
8.900000000000000000e+01 2.026112622923992947e+07
9.100000000000000000e+01 2.110540921998607367e+07
9.300000000000000000e+01 2.196545206692454964e+07
9.500000000000000000e+01 2.284117369714561477e+07
9.700000000000000000e+01 2.373249346436694264e+07
9.900000000000000000e+01 2.463933114735183865e+07
1.010000000000000000e+02 2.556160694833029807e+07
1.030000000000000000e+02 2.649924149142314121e+07
1.050000000000000000e+02 2.745215582106911391e+07
1.070000000000000000e+02 2.842027140045490861e+07
1.090000000000000000e+02 2.940351010994826630e+07
1.110000000000000000e+02 3.040179424553396925e+07
1.130000000000000000e+02 3.141504651725287735e+07
1.150000000000000000e+02 3.244319004764390364e+07
1.170000000000000000e+02 3.348614837018899247e+07
1.190000000000000000e+02 3.454384542776111513e+07
1.210000000000000000e+02 3.561620557107514888e+07
1.230000000000000000e+02 3.670315355714184046e+07
1.250000000000000000e+02 3.780461454772465676e+07
1.270000000000000000e+02 3.892051410779976100e+07
1.290000000000000000e+02 4.005077820401878655e+07
1.310000000000000000e+02 4.119533320317473263e+07
1.330000000000000000e+02 4.235410587067078054e+07
1.350000000000000000e+02 4.352702336899209023e+07
1.370000000000000000e+02 4.471401325618060678e+07
1.390000000000000000e+02 4.591500348431287706e+07
1.410000000000000000e+02 4.712992239798066765e+07
1.430000000000000000e+02 4.835869873277490586e+07
1.450000000000000000e+02 4.960126161377219111e+07
1.470000000000000000e+02 5.085754055402460694e+07
1.490000000000000000e+02 5.212746545305243880e+07
1.510000000000000000e+02 5.341096659533971548e+07
1.530000000000000000e+02 5.470797464883297682e+07
1.550000000000000000e+02 5.601842066344276816e+07
1.570000000000000000e+02 5.734223606954839826e+07
1.590000000000000000e+02 5.867935267650543153e+07
1.610000000000000000e+02 6.002970267115624994e+07
1.630000000000000000e+02 6.139321861634366959e+07
1.650000000000000000e+02 6.276983344942741841e+07
1.670000000000000000e+02 6.415948048080366850e+07
1.690000000000000000e+02 6.556209339242760092e+07
1.710000000000000000e+02 6.697760623633872718e+07
1.730000000000000000e+02 6.840595343318954110e+07
1.750000000000000000e+02 6.984706977077674866e+07
1.770000000000000000e+02 7.130089040257592499e+07
1.790000000000000000e+02 7.276735084627872705e+07
1.810000000000000000e+02 7.424638698233340681e+07
1.830000000000000000e+02 7.573793505248808861e+07
1.850000000000000000e+02 7.724193165833713114e+07
1.870000000000000000e+02 7.875831375987060368e+07
1.890000000000000000e+02 8.028701867402631044e+07
1.910000000000000000e+02 8.182798407324542105e+07
1.930000000000000000e+02 8.338114798403044045e+07
1.950000000000000000e+02 8.494644878550672531e+07
1.970000000000000000e+02 8.652382520798656344e+07
1.990000000000000000e+02 8.811321633153641224e+07
2.010000000000000000e+02 8.971456158454711735e+07
2.030000000000000000e+02 9.132780074230718613e+07
2.050000000000000000e+02 9.295287392557880282e+07
2.070000000000000000e+02 9.458972159917703271e+07
2.090000000000000000e+02 9.623828457055205107e+07
2.110000000000000000e+02 9.789850398837409914e+07
2.130000000000000000e+02 9.957032134112165868e+07
2.150000000000000000e+02 1.012536784556725174e+08
2.170000000000000000e+02 1.029485174958978146e+08
2.190000000000000000e+02 1.046547809612590522e+08
2.210000000000000000e+02 1.063724116854082346e+08
2.230000000000000000e+02 1.081013528347906768e+08
2.250000000000000000e+02 1.098415479072511792e+08
2.270000000000000000e+02 1.115929407306427658e+08
2.290000000000000000e+02 1.133554754614388645e+08
2.310000000000000000e+02 1.151290965833482444e+08
2.330000000000000000e+02 1.169137489059325159e+08
2.350000000000000000e+02 1.187093775632275492e+08
2.370000000000000000e+02 1.205159280123669654e+08
2.390000000000000000e+02 1.223333460322093070e+08
2.410000000000000000e+02 1.241615777219676226e+08
2.430000000000000000e+02 1.260005694998421818e+08
2.450000000000000000e+02 1.278502681016567796e+08
2.470000000000000000e+02 1.297106205794969499e+08
2.490000000000000000e+02 1.315815743003520668e+08
2.510000000000000000e+02 1.334630769447598755e+08
2.530000000000000000e+02 1.353550765054544806e+08
2.550000000000000000e+02 1.372575212860168219e+08
2.570000000000000000e+02 1.391703598995283544e+08
2.590000000000000000e+02 1.410935412672279775e+08
2.610000000000000000e+02 1.430270146171713471e+08
2.630000000000000000e+02 1.449707294828937650e+08
