# t[Gyr], h[pc]_thin.d
1.250000000000000069e-02 5.961637988018700298e+02
3.750000000000000555e-02 5.956306710001435931e+02
6.250000000000001388e-02 5.950969841655440860e+02
8.750000000000000833e-02 5.945627369797477968e+02
1.125000000000000167e-01 5.940279281179859936e+02
1.375000000000000389e-01 5.934925562489963795e+02
1.625000000000000333e-01 5.929566200349742076e+02
1.875000000000000555e-01 5.924201181315232816e+02
2.125000000000000500e-01 5.918830491876060478e+02
2.375000000000000444e-01 5.913454118454936861e+02
2.625000000000000666e-01 5.908072047407140417e+02
2.875000000000000888e-01 5.902684265020027397e+02
3.125000000000000555e-01 5.897290757512497521e+02
3.375000000000000777e-01 5.891891511034477844e+02
3.625000000000000999e-01 5.886486511666395245e+02
3.875000000000000666e-01 5.881075745418653469e+02
4.125000000000000888e-01 5.875659198231081746e+02
4.375000000000001110e-01 5.870236855972405010e+02
4.625000000000000777e-01 5.864808704439698204e+02
4.875000000000000999e-01 5.859374729357821252e+02
5.125000000000000666e-01 5.853934916378877915e+02
5.375000000000000888e-01 5.848489251081645079e+02
5.625000000000001110e-01 5.843037718971003187e+02
5.875000000000000222e-01 5.837580305477368938e+02
6.125000000000000444e-01 5.832116995956113215e+02
6.375000000000000666e-01 5.826647775686975592e+02
6.625000000000000888e-01 5.821172629873482265e+02
6.875000000000001110e-01 5.815691543642329862e+02
7.125000000000001332e-01 5.810204502042815875e+02
7.375000000000000444e-01 5.804711490046202016e+02
7.625000000000000666e-01 5.799212492545118494e+02
7.875000000000000888e-01 5.793707494352938738e+02
8.125000000000001110e-01 5.788196480203149576e+02
8.375000000000001332e-01 5.782679434748738458e+02
8.625000000000001554e-01 5.777156342561528390e+02
8.875000000000001776e-01 5.771627188131560615e+02
9.125000000000000888e-01 5.766091955866423859e+02
9.375000000000001110e-01 5.760550630090618824e+02
9.625000000000001332e-01 5.755003195044874928e+02
9.875000000000001554e-01 5.749449634885495470e+02
1.012500000000000178e+00 5.743889933683675508e+02
1.037500000000000089e+00 5.738324075424819739e+02
1.062500000000000222e+00 5.732752044007856966e+02
1.087500000000000133e+00 5.727173823244538653e+02
1.112500000000000266e+00 5.721589396858746568e+02
1.137500000000000178e+00 5.715998748485761780e+02
1.162500000000000089e+00 5.710401861671572306e+02
1.187500000000000222e+00 5.704798719872134143e+02
1.212500000000000133e+00 5.699189306452642541e+02
1.237500000000000266e+00 5.693573604686797580e+02
1.262500000000000178e+00 5.687951597756051569e+02
1.287500000000000311e+00 5.682323268748863256e+02
1.312500000000000222e+00 5.676688600659929307e+02
1.337500000000000133e+00 5.671047576389416918e+02
1.362500000000000266e+00 5.665400178742194157e+02
1.387500000000000178e+00 5.659746390427036431e+02
1.412500000000000311e+00 5.654086194055842043e+02
1.437500000000000222e+00 5.648419572142825018e+02
1.462500000000000133e+00 5.642746507103711338e+02
1.487500000000000266e+00 5.637066981254916982e+02
1.512500000000000178e+00 5.631380976812738481e+02
1.537500000000000311e+00 5.625688475892492306e+02
1.562500000000000222e+00 5.619989460507699732e+02
1.587500000000000355e+00 5.614283912569219410e+02
1.612500000000000266e+00 5.608571813884398125e+02
1.637500000000000178e+00 5.602853146156194271e+02
1.662500000000000311e+00 5.597127890982308145e+02
1.687500000000000222e+00 5.591396029854291783e+02
1.712500000000000355e+00 5.585657544156655376e+02
1.737500000000000266e+00 5.579912415165958919e+02
1.762500000000000400e+00 5.574160624049908392e+02
1.787500000000000311e+00 5.568402151866421264e+02
1.812500000000000222e+00 5.562636979562697661e+02
1.837500000000000355e+00 5.556865087974280186e+02
1.862500000000000266e+00 5.551086457824100080e+02
1.887500000000000400e+00 5.545301069721512022e+02
1.912500000000000311e+00 5.539508904161323244e+02
1.937500000000000222e+00 5.533709941522820372e+02
1.962500000000000355e+00 5.527904162068756477e+02
1.987500000000000266e+00 5.522091545944361997e+02
2.012500000000000622e+00 5.516272073176330650e+02
2.037500000000000533e+00 5.510445723671787164e+02
2.062500000000000444e+00 5.504612477217260675e+02
2.087500000000000799e+00 5.498772313477627449e+02
2.112500000000000711e+00 5.492925211995066093e+02
2.137500000000000622e+00 5.487071152187975258e+02
2.162500000000000533e+00 5.481210113349901576e+02
2.187500000000000444e+00 5.475342074648450534e+02
2.212500000000000799e+00 5.469467015124170075e+02
2.237500000000000711e+00 5.463584913689446694e+02
2.262500000000000622e+00 5.457695749127376530e+02
2.287500000000000533e+00 5.451799500090620541e+02
2.312500000000000444e+00 5.445896145100258536e+02
2.337500000000000799e+00 5.439985662544620482e+02
