# t[Gyr], [Fe/H]_thin.d
1.250000000000000069e-02 -6.453579330573054884e-01
3.750000000000000555e-02 -6.192911829941836199e-01
6.250000000000001388e-02 -6.029904993356656195e-01
8.750000000000000833e-02 -5.903661516455539493e-01
1.125000000000000167e-01 -5.797919513312121964e-01
1.375000000000000389e-01 -5.705584237711310847e-01
1.625000000000000333e-01 -5.622837074705639981e-01
1.875000000000000555e-01 -5.547355714590638254e-01
2.125000000000000500e-01 -5.477608787594208106e-01
2.375000000000000444e-01 -5.412526318638146705e-01
2.625000000000000666e-01 -5.351327427012027016e-01
2.875000000000000888e-01 -5.293422493583266331e-01
3.125000000000000555e-01 -5.238353978021498270e-01
3.375000000000000777e-01 -5.185758769750158370e-01
3.625000000000000999e-01 -5.135343235633850201e-01
3.875000000000000666e-01 -5.086866109489740495e-01
4.125000000000000888e-01 -5.040126416290382494e-01
4.375000000000001110e-01 -4.994954736852378341e-01
4.625000000000000777e-01 -4.951206752470075911e-01
4.875000000000000999e-01 -4.908758384374152239e-01
5.125000000000000666e-01 -4.867502073098638471e-01
5.375000000000000888e-01 -4.827343888306135367e-01
5.625000000000001110e-01 -4.788201254011432706e-01
5.875000000000000222e-01 -4.750001136852919359e-01
6.125000000000000444e-01 -4.712678587611097702e-01
6.375000000000000666e-01 -4.676175555598611200e-01
6.625000000000000888e-01 -4.640439916248056962e-01
6.875000000000001110e-01 -4.605424667018443996e-01
7.125000000000001332e-01 -4.571087257466286968e-01
7.375000000000000444e-01 -4.537389027205269154e-01
7.625000000000000666e-01 -4.504294731335340973e-01
7.875000000000000888e-01 -4.471772137325324969e-01
8.125000000000001110e-01 -4.439791680678022989e-01
8.375000000000001332e-01 -4.408326169272239192e-01
8.625000000000001554e-01 -4.377350528261528262e-01
8.875000000000001776e-01 -4.346841578958847152e-01
9.125000000000000888e-01 -4.316777846354950543e-01
9.375000000000001110e-01 -4.287139390884013856e-01
9.625000000000001332e-01 -4.257907660820364204e-01
9.875000000000001554e-01 -4.229065362308956355e-01
1.012500000000000178e+00 -4.200596344532147586e-01
1.037500000000000089e+00 -4.172485497921674669e-01
1.062500000000000222e+00 -4.144718663656806190e-01
1.087500000000000133e+00 -4.117282552962429065e-01
1.112500000000000266e+00 -4.090164674946092371e-01
1.137500000000000178e+00 -4.063353271899784458e-01
1.162500000000000089e+00 -4.036837261147955824e-01
1.187500000000000222e+00 -4.010606182653501661e-01
1.212500000000000133e+00 -3.984650151702894827e-01
1.237500000000000266e+00 -3.958959816083965633e-01
1.262500000000000178e+00 -3.933526317247965642e-01
1.287500000000000311e+00 -3.908341255014000648e-01
1.312500000000000222e+00 -3.883396655430471078e-01
1.337500000000000133e+00 -3.858684941456652084e-01
1.362500000000000266e+00 -3.834198906169045684e-01
1.387500000000000178e+00 -3.809931688232938152e-01
1.412500000000000311e+00 -3.785876749410425068e-01
1.437500000000000222e+00 -3.762027853902924490e-01
