# t[Gyr], [Fe/H]_thick.d
1.250000000000000069e-02 -9.056430945261084720e-01
3.750000000000000555e-02 -8.599706341898339934e-01
6.250000000000001388e-02 -8.214839616200338979e-01
8.750000000000000833e-02 -7.865903357602482826e-01
1.125000000000000167e-01 -7.540892177223120774e-01
1.375000000000000389e-01 -7.233914839245305650e-01
1.625000000000000333e-01 -6.941552745548708048e-01
1.875000000000000555e-01 -6.661619616155598500e-01
2.125000000000000500e-01 -6.392624580744643570e-01
2.375000000000000444e-01 -6.133502927022049800e-01
2.625000000000000666e-01 -5.883466702737794041e-01
2.875000000000000888e-01 -5.641915431714427109e-01
3.125000000000000555e-01 -5.408379636893254627e-01
3.375000000000000777e-01 -5.182483484768042326e-01
3.625000000000000999e-01 -4.963919180804017284e-01
3.875000000000000666e-01 -4.752428909384511235e-01
4.125000000000000888e-01 -4.547791799471833651e-01
4.375000000000001110e-01 -4.349814345226337142e-01
4.625000000000000777e-01 -4.158323267170015436e-01
4.875000000000000999e-01 -3.973160138378378781e-01
5.125000000000000666e-01 -3.794177313425520781e-01
5.375000000000000888e-01 -3.621234835864536317e-01
5.625000000000001110e-01 -3.454198091710176666e-01
5.875000000000000222e-01 -3.292936038696678835e-01
6.125000000000000444e-01 -3.137319884329743402e-01
6.375000000000000666e-01 -2.987222116365156888e-01
6.625000000000000888e-01 -2.842515811424483063e-01
6.875000000000001110e-01 -2.703074163666042695e-01
7.125000000000001332e-01 -2.568770187532679605e-01
7.375000000000000444e-01 -2.439476557786565136e-01
7.625000000000000666e-01 -2.315065557128836993e-01
7.875000000000000888e-01 -2.195409107252117575e-01
8.125000000000001110e-01 -2.080378863582971194e-01
8.375000000000001332e-01 -1.969846357520095292e-01
8.625000000000001554e-01 -1.863683172864860627e-01
8.875000000000001776e-01 -1.761761145520309713e-01
9.125000000000000888e-01 -1.663952577511093045e-01
9.375000000000001110e-01 -1.570130458030216669e-01
9.625000000000001332e-01 -1.480168685609474233e-01
9.875000000000001554e-01 -1.393942286685385668e-01
1.012500000000000178e+00 -1.311327626827109016e-01
1.037500000000000089e+00 -1.232202611735555564e-01
1.062500000000000222e+00 -1.156446875836349975e-01
1.087500000000000133e+00 -1.083941956891832925e-01
1.112500000000000266e+00 -1.014571455564384772e-01
1.137500000000000178e+00 -9.482211792875594458e-02
1.162500000000000089e+00 -8.847792701540713178e-02
1.187500000000000222e+00 -8.241363168198134748e-02
1.212500000000000133e+00 -7.661854506591603275e-02
1.237500000000000266e+00 -7.108224265958518195e-02
1.262500000000000178e+00 -6.579456891823942666e-02
1.287500000000000311e+00 -6.074564246145175428e-02
1.312500000000000222e+00 -5.592585994509369218e-02
1.337500000000000133e+00 -5.132589868668624433e-02
1.362500000000000266e+00 -4.693671813063837739e-02
1.387500000000000178e+00 -4.274956024173459657e-02
1.412500000000000311e+00 -3.875594891558853394e-02
1.437500000000000222e+00 -3.494768849389795484e-02
1.462500000000000133e+00 -3.131686147045931179e-02
1.487500000000000266e+00 -2.785582547123177655e-02
1.512500000000000178e+00 -2.455720958846074886e-02
1.537500000000000311e+00 -2.141391014513382984e-02
1.562500000000000222e+00 -1.841908596197550096e-02
1.587500000000000355e+00 -1.556615319490439742e-02
1.612500000000000266e+00 -1.284877980647802787e-02
1.637500000000000178e+00 -1.026087973040090695e-02
1.662500000000000311e+00 -7.796606783744164382e-03
1.687500000000000222e+00 -5.450348377179392578e-03
1.712500000000000355e+00 -3.216719069280671306e-03
1.737500000000000266e+00 -1.090554006867305858e-03
1.762500000000000400e+00 9.330977105681537154e-04
1.787500000000000311e+00 2.858979708028841493e-03
1.812500000000000222e+00 4.691635022992635129e-03
1.837500000000000355e+00 6.435412776735982554e-03
1.862500000000000266e+00 8.094474804645535038e-03
1.887500000000000400e+00 9.672802224059973142e-03
1.912500000000000311e+00 1.117420192086893138e-02
1.937500000000000222e+00 1.260231293858227186e-02
1.962500000000000355e+00 1.396061275586801820e-02
1.987500000000000266e+00 1.525242344064914324e-02
2.012500000000000622e+00 1.648091767076531600e-02
2.037500000000000533e+00 1.764912461294498858e-02
2.062500000000000444e+00 1.875993565340805524e-02
2.087500000000000799e+00 1.981610997484539727e-02
2.112500000000000711e+00 2.082027997580238043e-02
2.137500000000000622e+00 2.177495652963623574e-02
2.162500000000000533e+00 2.268253408124543125e-02
2.187500000000000444e+00 2.354529558067353090e-02
2.212500000000000799e+00 2.436541725349172793e-02
2.237500000000000711e+00 2.514497320857467244e-02
2.262500000000000622e+00 2.588593988449305883e-02
2.287500000000000533e+00 2.659020033628878288e-02
2.312500000000000444e+00 2.725954836485222632e-02
2.337500000000000799e+00 2.789569249152124009e-02
2.362500000000000711e+00 2.850025978085246603e-02
2.387500000000000622e+00 2.907479951478986191e-02
2.412500000000000533e+00 2.962078672169099480e-02
2.437500000000000444e+00 3.013962556385030300e-02
2.462500000000000799e+00 3.063265258730718532e-02
2.487500000000000711e+00 3.110113983783235891e-02
2.512500000000000622e+00 3.154629784707174700e-02
2.537500000000000533e+00 3.196927849286512746e-02
2.562500000000000888e+00 3.237117773779851770e-02
