# t[Gyr], SFR_thin.d/<SFR_thin.d>
1.250000000000000069e-02 7.122146604333092366e-52
3.750000000000000555e-02 1.228166043974723910e-51
6.250000000000001388e-02 2.115189664844411996e-51
8.750000000000000833e-02 3.638208620566839677e-51
1.125000000000000167e-01 6.249883676867457017e-51
1.375000000000000389e-01 1.072265475716152497e-50
1.625000000000000333e-01 1.837294456445967328e-50
1.875000000000000555e-01 9.661694136008662503e-02
2.125000000000000500e-01 1.561232039131134897e-01
2.375000000000000444e-01 2.066509857229402447e-01
2.625000000000000666e-01 2.527187934299905403e-01
2.875000000000000888e-01 2.959559554055344877e-01
3.125000000000000555e-01 3.371447032436743485e-01
3.375000000000000777e-01 3.767195930317748243e-01
3.625000000000000999e-01 4.149452535092428285e-01
3.875000000000000666e-01 4.519936638508385562e-01
4.125000000000000888e-01 4.879823407063272889e-01
4.375000000000001110e-01 5.229949798330550959e-01
4.625000000000000777e-01 5.570933808067863868e-01
4.875000000000000999e-01 5.903246977426557240e-01
5.125000000000000666e-01 6.227260302424961758e-01
5.375000000000000888e-01 6.543274268521546144e-01
5.625000000000001110e-01 6.851539033007586488e-01
5.875000000000000222e-01 7.152268291084592500e-01
6.125000000000000444e-01 7.445648980062218314e-01
6.375000000000000666e-01 7.731848176553242080e-01
6.625000000000000888e-01 8.011018062206112234e-01
6.875000000000001110e-01 8.283299537278951963e-01
7.125000000000001332e-01 8.548824873350903131e-01
7.375000000000000444e-01 8.807719674323232217e-01
7.625000000000000666e-01 9.060104333846807911e-01
7.875000000000000888e-01 9.306095122573043721e-01
8.125000000000001110e-01 9.545805001022787950e-01
8.375000000000001332e-01 9.779344227648059107e-01
8.625000000000001554e-01 1.000682081313195582e+00
8.875000000000001776e-01 1.022834085871615617e+00
9.125000000000000888e-01 1.044400880675651511e+00
9.375000000000001110e-01 1.065392762470124710e+00
9.625000000000001332e-01 1.085819893851944773e+00
9.875000000000001554e-01 1.105692312776643815e+00
1.012500000000000178e+00 1.125019939159398463e+00
1.037500000000000089e+00 1.143812579284182673e+00
1.062500000000000222e+00 1.162079928569886622e+00
1.087500000000000133e+00 1.179831573116358667e+00
1.112500000000000266e+00 1.197076990356772397e+00
1.137500000000000178e+00 1.213825549068311416e+00
