# t[Gyr], SFR_thick.d/<SFR_thick.d>
1.250000000000000069e-02 1.211446624087827301e-02
3.750000000000000555e-02 1.658073711958894456e-02
6.250000000000001388e-02 2.121799600392152568e-02
8.750000000000000833e-02 2.588209151775051550e-02
1.125000000000000167e-01 3.045887658015930879e-02
1.375000000000000389e-01 3.485960198408716293e-02
1.625000000000000333e-01 3.901692071606397555e-02
1.875000000000000555e-01 4.288142886753362054e-02
2.125000000000000500e-01 4.641867747332757699e-02
2.375000000000000444e-01 4.960659716750837056e-02
2.625000000000000666e-01 5.243328426983771134e-02
2.875000000000000888e-01 5.489510289609023791e-02
3.125000000000000555e-01 5.699506300169861206e-02
3.375000000000000777e-01 5.874143899188814799e-02
3.625000000000000999e-01 6.014659772624026540e-02
3.875000000000000666e-01 6.122600846855121709e-02
4.125000000000000888e-01 6.199741063498993843e-02
4.375000000000001110e-01 6.248011812060311199e-02
4.625000000000000777e-01 6.269444157705261755e-02
4.875000000000000999e-01 6.266121230966066602e-02
5.125000000000000666e-01 6.240139349207648317e-02
5.375000000000000888e-01 6.193576619137862449e-02
5.625000000000001110e-01 6.128467928129339298e-02
5.875000000000000222e-01 6.046785371975538226e-02
6.125000000000000444e-01 5.950423290007170185e-02
6.375000000000000666e-01 5.841187187105033318e-02
6.625000000000000888e-01 5.720785917718193558e-02
6.875000000000001110e-01 5.590826591009750990e-02
7.125000000000001332e-01 5.452811730022374265e-02
7.375000000000000444e-01 5.308138282455764079e-02
7.625000000000000666e-01 5.158098137322093130e-02
7.875000000000000888e-01 5.003879851323133482e-02
8.125000000000001110e-01 4.846571332101014262e-02
8.375000000000001332e-01 4.687163263288134790e-02
8.625000000000001554e-01 4.526553089174523148e-02
8.875000000000001776e-01 4.365549405402331662e-02
9.125000000000000888e-01 4.204876626902556702e-02
9.375000000000001110e-01 4.045179825764978754e-02
9.625000000000001332e-01 3.887029650283462673e-02
9.875000000000001554e-01 3.730927252403892086e-02
1.012500000000000178e+00 3.577309164538601538e-02
1.037500000000000089e+00 3.426552078479611768e-02
1.062500000000000222e+00 3.278977489192046874e-02
1.087500000000000133e+00 3.134856174817245156e-02
1.112500000000000266e+00 2.994412491456213340e-02
1.137500000000000178e+00 2.857828467408347894e-02
1.162500000000000089e+00 2.725247686657841437e-02
1.187500000000000222e+00 2.596778955663225225e-02
1.212500000000000133e+00 2.472499751029823278e-02
1.237500000000000266e+00 2.352459448532531402e-02
1.262500000000000178e+00 2.236682336296673748e-02
1.287500000000000311e+00 2.125170416815672786e-02
1.312500000000000222e+00 2.017906003954581320e-02
1.337500000000000133e+00 1.914854122217627547e-02
1.362500000000000266e+00 1.815964716397935885e-02
1.387500000000000178e+00 1.721174680323788592e-02
1.412500000000000311e+00 1.630409713807453795e-02
1.437500000000000222e+00 1.543586017123854855e-02
1.462500000000000133e+00 1.460611832426614298e-02
1.487500000000000266e+00 1.381388841473714553e-02
1.512500000000000178e+00 1.305813428906039443e-02
1.537500000000000311e+00 1.233777820118146622e-02
1.562500000000000222e+00 1.165171102497837737e-02
1.587500000000000355e+00 1.099880138503061232e-02
1.612500000000000266e+00 1.037790378703010857e-02
1.637500000000000178e+00 9.787865825447361265e-03
1.662500000000000311e+00 9.227534542254200653e-03
1.687500000000000222e+00 8.695762006604677852e-03
1.712500000000000355e+00 8.191410181444562164e-03
1.737500000000000266e+00 7.713355139104240143e-03
1.762500000000000400e+00 7.260490684066940766e-03
1.787500000000000311e+00 6.831731437325370970e-03
1.812500000000000222e+00 6.426015433067705160e-03
1.837500000000000355e+00 6.042306274887931754e-03
1.862500000000000266e+00 5.679594895308807609e-03
1.887500000000000400e+00 5.336900959148060779e-03
1.912500000000000311e+00 5.013273948156943098e-03
1.937500000000000222e+00 4.707793961417566266e-03
1.962500000000000355e+00 4.419572263204130450e-03
1.987500000000000266e+00 4.147751607391862369e-03
2.012500000000000622e+00 3.891506365034569717e-03
2.037500000000000533e+00 3.650042479424086845e-03
2.062500000000000444e+00 3.422597270787777497e-03
2.087500000000000799e+00 3.208439110769535033e-03
2.112500000000000711e+00 3.006866984968785319e-03
2.137500000000000622e+00 2.817209960075883583e-03
2.162500000000000533e+00 2.638826570534174524e-03
2.187500000000000444e+00 2.471104138172538524e-03
2.212500000000000799e+00 2.313458036881265410e-03
2.237500000000000711e+00 2.165330913141826508e-03
2.262500000000000622e+00 2.026191872061315190e-03
2.287500000000000533e+00 1.895535637498782120e-03
2.312500000000000444e+00 1.772881693897067432e-03
2.337500000000000799e+00 1.657773416544399423e-03
2.362500000000000711e+00 1.549777196179056953e-03
2.387500000000000622e+00 1.448481563112474779e-03
2.412500000000000533e+00 1.353496315375942198e-03
2.437500000000000444e+00 1.264451654788661429e-03
2.462500000000000799e+00 1.180997334295651961e-03
2.487500000000000711e+00 1.102801819428197863e-03
2.512500000000000622e+00 1.029551466293370746e-03
2.537500000000000533e+00 9.609497180982692205e-04
2.562500000000000888e+00 8.967163218556063872e-04
2.587500000000000799e+00 8.365865665965345043e-04
2.612500000000000711e+00 7.803105441308032285e-04
2.637500000000000622e+00 7.276524331407876328e-04
2.662500000000000533e+00 6.783898071713146500e-04
2.687500000000000888e+00 6.323129668794213619e-04
2.712500000000000799e+00 5.892242967344713672e-04
2.737500000000000711e+00 5.489376462072349588e-04
2.762500000000000622e+00 5.112777353547445216e-04
2.787500000000000533e+00 4.760795845937053870e-04
2.812500000000000888e+00 4.431879683575629158e-04
2.837500000000000799e+00 4.124568922491677345e-04
2.862500000000000711e+00 3.837490932308787071e-04
2.887500000000000622e+00 3.569355623356904473e-04
2.912500000000000533e+00 3.318950893350682257e-04
2.937500000000000888e+00 3.085138287607315424e-04
2.962500000000000799e+00 2.866848866474506043e-04
2.987500000000000711e+00 2.663079273410809021e-04
3.012500000000000622e+00 2.472887996998060175e-04
3.037500000000000977e+00 2.295391820059243418e-04
3.062500000000000888e+00 2.129762448999794481e-04
3.087500000000000799e+00 1.975223316478157067e-04
3.112500000000000711e+00 1.831046550537323810e-04
3.137500000000000622e+00 1.696550103387757080e-04
3.162500000000000977e+00 1.571095033118489342e-04
3.187500000000000888e+00 1.454082931723649664e-04
3.212500000000000799e+00 1.344953492961844979e-04
3.237500000000000711e+00 1.243182213712668287e-04
3.262500000000000622e+00 1.148278222655066367e-04
3.287500000000000977e+00 1.059782230263458256e-04
3.312500000000000888e+00 9.772645942973498436e-05
3.337500000000000799e+00 9.003234951462494608e-05
3.362500000000000711e+00 8.285832155823584749e-05
3.387500000000000622e+00 7.616925196670717828e-05
3.412500000000000977e+00 6.993231257522658723e-05
