# t[Gyr], SFR_tot/<SFR_tot>
1.250000000000000069e-02 3.505121635320284645e-01
3.750000000000000555e-02 4.797363685023233182e-01
6.250000000000001388e-02 6.139078302973824952e-01
8.750000000000000833e-02 7.488557658453630639e-01
1.125000000000000167e-01 8.812775170268392078e-01
1.375000000000000389e-01 1.008605271446276541e+00
1.625000000000000333e-01 1.128890453992773768e+00
1.875000000000000555e-01 1.323168819107612304e+00
2.125000000000000500e-01 1.476303498192206076e+00
2.375000000000000444e-01 1.611667543141159120e+00
2.625000000000000666e-01 1.732773208291526812e+00
2.875000000000000888e-01 1.840905971189149559e+00
3.125000000000000555e-01 1.936820575790001886e+00
3.375000000000000777e-01 2.021127333791474356e+00
3.625000000000000999e-01 2.094409927737241883e+00
3.875000000000000666e-01 2.157262724224464634e+00
4.125000000000000888e-01 2.210299287737261142e+00
4.375000000000001110e-01 2.254149870670146605e+00
4.625000000000000777e-01 2.289454875947737555e+00
4.875000000000000999e-01 2.316857270455149997e+00
5.125000000000000666e-01 2.336995254671417666e+00
5.375000000000000888e-01 2.350495741854157661e+00
5.625000000000001110e-01 2.357968844811572762e+00
5.875000000000000222e-01 2.360003396502692308e+00
6.125000000000000444e-01 2.357163448473913014e+00
6.375000000000000666e-01 2.349985654319808326e+00
6.625000000000000888e-01 2.338977432096006392e+00
6.875000000000001110e-01 2.324615798635207398e+00
7.125000000000001332e-01 2.307346774014530588e+00
7.375000000000000444e-01 2.287585262716990808e+00
7.625000000000000666e-01 2.265715327512637600e+00
7.875000000000000888e-01 2.242090781757205331e+00
8.125000000000001110e-01 2.217036035127165849e+00
8.375000000000001332e-01 2.190847136501324677e+00
8.625000000000001554e-01 2.163792965634538934e+00
8.875000000000001776e-01 2.136116532410150537e+00
9.125000000000000888e-01 2.108036348816330285e+00
9.375000000000001110e-01 2.079747844407241253e+00
9.625000000000001332e-01 2.051424800936410886e+00
9.875000000000001554e-01 2.023220786146862959e+00
1.012500000000000178e+00 1.995270570431346480e+00
1.037500000000000089e+00 1.967691513295641403e+00
1.062500000000000222e+00 1.940584909324795992e+00
1.087500000000000133e+00 1.914037285717957282e+00
1.112500000000000266e+00 1.888121645470169252e+00
1.137500000000000178e+00 1.862898651982154208e+00
1.162500000000000089e+00 1.838417752310577358e+00
1.187500000000000222e+00 1.814718237466595108e+00
1.212500000000000133e+00 1.791830239160464799e+00
1.237500000000000266e+00 1.769775663202275195e+00
1.262500000000000178e+00 1.748569060427894950e+00
1.287500000000000311e+00 1.728218436546352432e+00
1.312500000000000222e+00 1.708726002719175519e+00
1.337500000000000133e+00 1.690088869000226701e+00
1.362500000000000266e+00 1.672299683000773474e+00
1.387500000000000178e+00 1.655347216311798375e+00
1.412500000000000311e+00 1.639216901324682674e+00
1.437500000000000222e+00 1.623891321152270306e+00
1.462500000000000133e+00 1.609350655373096295e+00
1.487500000000000266e+00 1.595573084309447554e+00
1.512500000000000178e+00 1.582535154511264475e+00
1.537500000000000311e+00 1.570212108057802425e+00
1.562500000000000222e+00 1.558578178212243426e+00
