# t[Gyr], SFR_tot[Msun/pc^2/Gyr]
1.250000000000000069e-02 1.383447475585637854e+00
3.750000000000000555e-02 1.893486551973866172e+00
6.250000000000001388e-02 2.423052111826536681e+00
8.750000000000000833e-02 2.955682360340830428e+00
1.125000000000000167e-01 3.478341932375632606e+00
1.375000000000000389e-01 3.980895848475216159e+00
1.625000000000000333e-01 4.455653216286514784e+00
1.875000000000000555e-01 5.222456602139538440e+00
2.125000000000000500e-01 5.826868680366431796e+00
2.375000000000000444e-01 6.361141284154625097e+00
2.625000000000000666e-01 6.839137040544649437e+00
2.875000000000000888e-01 7.265929641267468320e+00
3.125000000000000555e-01 7.644498008966122526e+00
3.375000000000000777e-01 7.977251002062434537e+00
3.625000000000000999e-01 8.266492375534415515e+00
3.875000000000000666e-01 8.514568053586600627e+00
4.125000000000000888e-01 8.723899733166989634e+00
4.375000000000001110e-01 8.896974977261665529e+00
4.625000000000000777e-01 9.036321412303021106e+00
4.875000000000000999e-01 9.144476784499733668e+00
5.125000000000000666e-01 9.223960027382496207e+00
5.375000000000000888e-01 9.277245524593013215e+00
5.625000000000001110e-01 9.306741349551119313e+00
5.875000000000000222e-01 9.314771585571074652e+00
6.125000000000000444e-01 9.303562505430694074e+00
6.375000000000000666e-01 9.275232244070556575e+00
6.625000000000000888e-01 9.231783545763649457e+00
6.875000000000001110e-01 9.175099163240606259e+00
7.125000000000001332e-01 9.106939507163168912e+00
7.375000000000000444e-01 9.028942177076675790e+00
7.625000000000000666e-01 8.942623042400143163e+00
7.875000000000000888e-01 8.849378580188425047e+00
8.125000000000001110e-01 8.750489213190469684e+00
8.375000000000001332e-01 8.647123426031480875e+00
8.625000000000001554e-01 8.540342468667367015e+00
8.875000000000001776e-01 8.431105484445003739e+00
9.125000000000000888e-01 8.320274925198798854e+00
9.375000000000001110e-01 8.208622137978844435e+00
9.625000000000001332e-01 8.096833027450466957e+00
9.875000000000001554e-01 7.985513714965566834e+00
1.012500000000000178e+00 7.875196130023406127e+00
1.037500000000000089e+00 7.766343482546204768e+00
1.062500000000000222e+00 7.659355575315592191e+00
1.087500000000000133e+00 7.554573925253617261e+00
1.112500000000000266e+00 7.452286670176057726e+00
1.137500000000000178e+00 7.352733244366003618e+00
1.162500000000000089e+00 7.256108811965632732e+00
1.187500000000000222e+00 7.162568451901877964e+00
1.212500000000000133e+00 7.072231091969058525e+00
1.237500000000000266e+00 6.985183192897558513e+00
1.262500000000000178e+00 6.901482185838831995e+00
1.287500000000000311e+00 6.821159668777479368e+00
1.312500000000000222e+00 6.744224369016437848e+00
1.337500000000000133e+00 6.670664880136458308e+00
1.362500000000000266e+00 6.600452182763352660e+00
1.387500000000000178e+00 6.533541959136636379e+00
1.412500000000000311e+00 6.469876711903960853e+00
1.437500000000000222e+00 6.409387697805961182e+00
1.462500000000000133e+00 6.351996686998159447e+00
1.487500000000000266e+00 6.297617558708750174e+00
1.512500000000000178e+00 6.246157743778502081e+00
1.537500000000000311e+00 6.197519524391832846e+00
1.562500000000000222e+00 6.151601201005294506e+00
1.587500000000000355e+00 6.108298136125797306e+00
1.612500000000000266e+00 6.067503684199374803e+00
1.637500000000000178e+00 6.029110016453252285e+00
1.662500000000000311e+00 5.993008849098130142e+00
1.687500000000000222e+00 5.959092082852396111e+00
1.712500000000000355e+00 5.927252361301270867e+00
1.737500000000000266e+00 5.897383555157176716e+00
1.762500000000000400e+00 5.869381179047097774e+00
1.787500000000000311e+00 5.843142747021829564e+00
1.812500000000000222e+00 5.818568072563480520e+00
1.837500000000000355e+00 5.795559518463439197e+00
1.862500000000000266e+00 5.774022201554783074e+00
1.887500000000000400e+00 5.753864156912079864e+00
1.912500000000000311e+00 5.734996465777959962e+00
1.937500000000000222e+00 5.717333351140892361e+00
1.962500000000000355e+00 5.700792244571600165e+00
1.987500000000000266e+00 5.685293827627081242e+00
2.012500000000000622e+00 5.670762050850785663e+00
2.037500000000000533e+00 5.657124133134535882e+00
2.062500000000000444e+00 5.644310543962340887e+00
2.087500000000000799e+00 5.632254970827194285e+00
2.112500000000000711e+00 5.620894273898988658e+00
2.137500000000000622e+00 5.610168429824044622e+00
2.162500000000000533e+00 5.600020466353592852e+00
2.187500000000000444e+00 5.590396389329550075e+00
2.212500000000000799e+00 5.581245103399650631e+00
2.237500000000000711e+00 5.572518327690503703e+00
2.262500000000000622e+00 5.564170507535140864e+00
2.287500000000000533e+00 5.556158723230490537e+00
2.312500000000000444e+00 5.548442596689620920e+00
2.337500000000000799e+00 5.540984196752241964e+00
2.362500000000000711e+00 5.533747943824802284e+00
2.387500000000000622e+00 5.526700514437599132e+00
2.412500000000000533e+00 5.519810746229999232e+00
2.437500000000000444e+00 5.513049543805962571e+00
2.462500000000000799e+00 5.506389785839417961e+00
2.487500000000000711e+00 5.499806233752840612e+00
2.512500000000000622e+00 5.493275442241614570e+00
2.537500000000000533e+00 5.486775671871152227e+00
2.562500000000000888e+00 5.480286803933095641e+00
2.587500000000000799e+00 5.473790257710320795e+00
2.612500000000000711e+00 5.467268910268147764e+00
2.637500000000000622e+00 5.460707018860318840e+00
2.662500000000000533e+00 5.454090146012778639e+00
2.687500000000000888e+00 5.447405087325994266e+00
2.712500000000000799e+00 5.440639802016610460e+00
2.737500000000000711e+00 5.433783346202290865e+00
2.762500000000000622e+00 5.426825808918463778e+00
2.787500000000000533e+00 5.419758250842869884e+00
2.812500000000000888e+00 5.412572645692779183e+00
2.837500000000000799e+00 5.405261824250226610e+00
2.862500000000000711e+00 5.397819420962839843e+00
2.887500000000000622e+00 5.390239823061158120e+00
2.912500000000000533e+00 5.382518122127977200e+00
2.937500000000000888e+00 5.374650068050973672e+00
2.962500000000000799e+00 5.366632025286372176e+00
2.987500000000000711e+00 5.358460931359019241e+00
3.012500000000000622e+00 5.350134257522266346e+00
3.037500000000000977e+00 5.341649971500010530e+00
3.062500000000000888e+00 5.333006502232649382e+00
3.087500000000000799e+00 5.324202706548500252e+00
3.112500000000000711e+00 5.315237837682690092e+00
3.137500000000000622e+00 5.306111515566197312e+00
3.162500000000000977e+00 5.296823698808653447e+00
3.187500000000000888e+00 5.287374658299968999e+00
3.212500000000000799e+00 5.277764952357173023e+00
3.237500000000000711e+00 5.267995403344700733e+00
3.262500000000000622e+00 5.258067075698145132e+00
3.287500000000000977e+00 5.247981255283447943e+00
