# t[Gyr], fraction_in_stars&remnants_thin.d
1.250000000000000069e-02 6.482120016056639455e-01
3.750000000000000555e-02 6.478242298504637287e-01
6.250000000000001388e-02 6.478246045526601105e-01
8.750000000000000833e-02 6.475966261926766609e-01
1.125000000000000167e-01 6.474223046187261854e-01
1.375000000000000389e-01 6.474226817640618137e-01
1.625000000000000333e-01 6.474230597304898582e-01
1.875000000000000555e-01 6.469898953912771589e-01
2.125000000000000500e-01 6.469902750100814393e-01
2.375000000000000444e-01 6.469906554602109505e-01
2.625000000000000666e-01 6.494509797024047293e-01
2.875000000000000888e-01 6.494513618255642884e-01
3.125000000000000555e-01 6.494517447904709639e-01
3.375000000000000777e-01 6.490346864957977635e-01
3.625000000000000999e-01 6.490350711547703266e-01
3.875000000000000666e-01 6.490354566661051816e-01
4.125000000000000888e-01 6.490358430333846851e-01
4.375000000000001110e-01 6.486883725476337847e-01
4.625000000000000777e-01 6.486887606376378068e-01
4.875000000000000999e-01 6.486891495944669961e-01
5.125000000000000666e-01 6.486895394217933042e-01
5.375000000000000888e-01 6.486899301233119974e-01
5.625000000000001110e-01 6.482735503632767182e-01
5.875000000000000222e-01 6.482739428243575741e-01
6.125000000000000444e-01 6.482743361708553920e-01
6.375000000000000666e-01 6.482747304065588079e-01
6.625000000000000888e-01 6.482751255352805497e-01
6.875000000000001110e-01 6.482755215608573263e-01
7.125000000000001332e-01 6.507818598629719897e-01
7.375000000000000444e-01 6.507822576938663284e-01
7.625000000000000666e-01 6.507826564332724883e-01
7.875000000000000888e-01 6.507830560851257662e-01
8.125000000000001110e-01 6.507834566533865495e-01
8.375000000000001332e-01 6.507838581420403168e-01
8.625000000000001554e-01 6.503834538240259588e-01
8.875000000000001776e-01 6.503838571655254919e-01
9.125000000000000888e-01 6.503842614395294319e-01
9.375000000000001110e-01 6.503846666501270635e-01
9.625000000000001332e-01 6.503850728014339833e-01
9.875000000000001554e-01 6.503854798975927665e-01
1.012500000000000178e+00 6.503858879427725226e-01
1.037500000000000089e+00 6.500556070127616604e-01
1.062500000000000222e+00 6.500560169686000478e-01
1.087500000000000133e+00 6.500564278861309386e-01
1.112500000000000266e+00 6.500568397696336875e-01
1.137500000000000178e+00 6.500572526234154047e-01
1.162500000000000089e+00 6.500576664518118442e-01
1.187500000000000222e+00 6.500580812591871815e-01
1.212500000000000133e+00 6.496584516821197752e-01
1.237500000000000266e+00 6.496588684606610098e-01
1.262500000000000178e+00 6.525253524269060135e-01
1.287500000000000311e+00 6.525257711944190131e-01
1.312500000000000222e+00 6.525261909631692170e-01
1.337500000000000133e+00 6.525266117376975483e-01
1.362500000000000266e+00 6.525270335225754614e-01
1.387500000000000178e+00 6.525274563224048308e-01
1.412500000000000311e+00 6.522132548720889211e-01
1.437500000000000222e+00 6.522136797157511712e-01
1.462500000000000133e+00 6.522141055883572403e-01
1.487500000000000266e+00 6.522145324946346800e-01
1.512500000000000178e+00 6.522149604393427946e-01
