# t[Gyr], sigma_W[km/s]
1.250000000000000069e-02 2.599067997703617650e+01
3.750000000000000555e-02 2.597202320205971660e+01
6.250000000000001388e-02 2.595334406374866631e+01
8.750000000000000833e-02 2.593464249227274010e+01
1.125000000000000167e-01 2.591591841744875069e+01
1.375000000000000389e-01 2.589717176873812932e+01
1.625000000000000333e-01 2.587840247524443527e+01
1.875000000000000555e-01 2.585961046571085475e+01
2.125000000000000500e-01 2.584079566851766785e+01
2.375000000000000444e-01 2.582195801167967630e+01
2.625000000000000666e-01 2.580309742284363139e+01
2.875000000000000888e-01 2.578421382928562977e+01
3.125000000000000555e-01 2.576530715790849158e+01
3.375000000000000777e-01 2.574637733523909233e+01
3.625000000000000999e-01 2.572742428742571263e+01
3.875000000000000666e-01 2.570844794023532032e+01
4.125000000000000888e-01 2.568944821905084552e+01
4.375000000000001110e-01 2.567042504886844512e+01
4.625000000000000777e-01 2.565137835429472091e+01
4.875000000000000999e-01 2.563230805954390945e+01
5.125000000000000666e-01 2.561321408843508607e+01
5.375000000000000888e-01 2.559409636438928004e+01
5.625000000000001110e-01 2.557495481042661467e+01
5.875000000000000222e-01 2.555578934916340472e+01
6.125000000000000444e-01 2.553659990280921832e+01
6.375000000000000666e-01 2.551738639316392110e+01
6.625000000000000888e-01 2.549814874161469547e+01
6.875000000000001110e-01 2.547888686913300305e+01
7.125000000000001332e-01 2.545960069627159328e+01
7.375000000000000444e-01 2.544029014316137349e+01
7.625000000000000666e-01 2.542095512950835712e+01
7.875000000000000888e-01 2.540159557459050177e+01
8.125000000000001110e-01 2.538221139725457576e+01
8.375000000000001332e-01 2.536280251591296775e+01
8.625000000000001554e-01 2.534336884854044669e+01
8.875000000000001776e-01 2.532391031267094306e+01
9.125000000000000888e-01 2.530442682539425192e+01
9.375000000000001110e-01 2.528491830335273605e+01
9.625000000000001332e-01 2.526538466273796146e+01
9.875000000000001554e-01 2.524582581928735792e+01
1.012500000000000178e+00 2.522624168828078339e+01
1.037500000000000089e+00 2.520663218453710286e+01
1.062500000000000222e+00 2.518699722241070660e+01
1.087500000000000133e+00 2.516733671578801790e+01
1.112500000000000266e+00 2.514765057808394388e+01
1.137500000000000178e+00 2.512793872223829794e+01
1.162500000000000089e+00 2.510820106071221147e+01
1.187500000000000222e+00 2.508843750548448170e+01
1.212500000000000133e+00 2.506864796804787687e+01
1.237500000000000266e+00 2.504883235940545916e+01
1.262500000000000178e+00 2.502899059006679749e+01
1.287500000000000311e+00 2.500912257004420525e+01
1.312500000000000222e+00 2.498922820884891038e+01
1.337500000000000133e+00 2.496930741548718302e+01
1.362500000000000266e+00 2.494936009845645231e+01
1.387500000000000178e+00 2.492938616574136645e+01
1.412500000000000311e+00 2.490938552480979951e+01
1.437500000000000222e+00 2.488935808260885096e+01
1.462500000000000133e+00 2.486930374556078505e+01
1.487500000000000266e+00 2.484922241955892730e+01
1.512500000000000178e+00 2.482911400996355766e+01
1.537500000000000311e+00 2.480897842159767208e+01
